layer_code ;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district;neighborhood;district_name;neighborhood_name
K015;Transports i serveis relacionats;Autobusos nocturns;434559817;4585651908;434467848;4585450941;2215826;41417942;NITBUS -N6--;10;70;Sant Martí;el Besòs i el Maresme
K014;Transports i serveis relacionats;Autobusos diürns;428930237;4583233294;428838319;4583032351;2148753;4139568;BUS -27-D40--;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K015;Transports i serveis relacionats;Autobusos nocturns;433560712;4584928897;433468752;4584727937;2203951;41411348;NITBUS -N11--;10;71;Sant Martí;Provençals del Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;432156785;4584809025;432064838;4584608066;2187168;41410151;BUS -62--;10;65;Sant Martí;el Clot
K014;Transports i serveis relacionats;Autobusos diürns;430976432;4588990335;430884497;4588789338;2172569;41447709;BUS -127--;8;50;Nou Barris;les Roquetes
K015;Transports i serveis relacionats;Autobusos nocturns;425827685;458115107;425735796;4580950147;2111899;41376646;NITBUS -N3--;4;20;Les Corts;la Maternitat i Sant Ramon
K014;Transports i serveis relacionats;Autobusos diürns;429774747;458235514;429682821;4582154205;2158956;41387845;BUS -X1--;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;432167469;4583460819;432075522;4583259873;2187447;41398009;BUS -100--;10;66;Sant Martí;el Parc i la Llacuna del Poblenou
K014;Transports i serveis relacionats;Autobusos diürns;431651985;4589915117;431560044;4589714111;2180551;41456096;BUS -180--;8;54;Nou Barris;Torre Baró
K014;Transports i serveis relacionats;Autobusos diürns;42778158;4583099657;427689673;4582898715;213503;41394374;BUS -V9--;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K014;Transports i serveis relacionats;Autobusos diürns;427393529;4583680449;427301626;4583479502;2130319;4139957;BUS -V9--;5;24;Sarrià-Sant Gervasi;les Tres Torres
K014;Transports i serveis relacionats;Autobusos diürns;42692751;4583884882;426835611;4583683933;212472;41401369;BUS -V9--;5;24;Sarrià-Sant Gervasi;les Tres Torres
K014;Transports i serveis relacionats;Autobusos diürns;427187059;4583525083;427095158;4583324138;2127868;41398152;BUS -V9--;5;24;Sarrià-Sant Gervasi;les Tres Torres
K014;Transports i serveis relacionats;Autobusos diürns;434787896;4585015215;434695925;4584814254;2218624;41412226;BUS -B20--;10;70;Sant Martí;el Besòs i el Maresme
K014;Transports i serveis relacionats;Autobusos diürns;428202015;4581538818;428110104;4581337891;2140244;41380354;BUS -L94--;3;18;Sants-Montjuïc;Sants
K014;Transports i serveis relacionats;Autobusos diürns;427699883;4582018267;427607977;4581817335;2134182;41384627;BUS -V5--;4;19;Les Corts;les Corts
K014;Transports i serveis relacionats;Autobusos diürns;425852838;4583083142;425760949;4582882201;2111963;41394049;BUS -V5--;4;21;Les Corts;Pedralbes
