"Area_Joc_Id","Adreca","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","X_ETRS89","Y_ETRS89","Longitud","Latitud","Area_Joc_Geom_WGS84","Area_Joc_Geom_ETRS89"
48422,"Ptge Pintor Tapiró, 7",Les Corts,4,la Maternitat i Sant Ramon,20,426318.245,4581112.102,2.1188442,41.3781579,"POLYGON ((2.11876731256308 41.378147411307, 2.11884502506174 41.378077071749, 2.11905708067619 41.3782099698347, 2.11898227344784 41.3782821422741, 2.11876731256308 41.378147411307))","POLYGON ((426311.804999613 4581110.99836743, 426318.223949813 4581103.12330651, 426336.106088117 4581117.69719343, 426329.932139822 4581125.77325279, 426311.804999613 4581110.99836743))"
49782,"Jard Can Senillosa, 0",Sarria-Sant Gervasi,5,Sarrià,23,426758.862,4582958.822,2.1238896,41.3948308,"POLYGON ((2.12384520213789 41.3948322656779, 2.12395504116048 41.394718752002, 2.124066603412 41.3947744389355, 2.12395277298568 41.3948894535996, 2.12384520213789 41.3948322656779))","POLYGON ((426755.148 4582959.023, 426764.203 4582946.328, 426773.592 4582952.416, 426764.205 4582965.281, 426755.148 4582959.023))"
54275,"C\ Gòlgota, 84003",Gracia,6,Vallcarca i els Penitents,28,428175.850,4585721.672,2.1405099,41.4198424,"POLYGON ((2.14041449684102 41.4197740696963, 2.14051019183612 41.4197496268349, 2.14053820899442 41.419816509299, 2.14056050941709 41.4198713511244, 2.14050861632795 41.4198836369403, 2.14050810814287 41.4198822459963, 2.14050193131214 41.4198787770188, 2.1404963231454 41.4198748348946, 2.14049243180742 41.4198713739837, 2.14048508418496 41.419855961385, 2.14045200340055 41.4198355015134, 2.14044419623918 41.4198313447934, 2.14041449684102 41.4197740696963))","POLYGON ((428167.801 4585714.161, 428175.771 4585711.368, 428178.186 4585718.77, 428180.11 4585724.84, 428175.787 4585726.247, 428175.743 4585726.093, 428175.223 4585725.713, 428174.75 4585725.28, 428174.421 4585724.899, 428173.79 4585723.194, 428171.003 4585720.95, 428170.346 4585720.495, 428167.801 4585714.161))"
61431,"C\ Fastenrath, 89",Horta-Guinardó,7,la Teixonera,38,428688.004,4586015.992,2.1466033,41.4225389,"POLYGON ((2.14656272908913 41.4224998110272, 2.14667118012714 41.4225340956079, 2.14663754195727 41.4225971327249, 2.14660452588002 41.4226025537042, 2.14652051287138 41.422576385794, 2.14656272908913 41.4224998110272))","POLYGON ((428684.571862482 4586011.68896218, 428693.671904794 4586015.4058989, 428690.929953853 4586022.43193059, 428688.176954357 4586023.06095246, 428681.12792191 4586020.22500155, 428684.571862482 4586011.68896218))"
85638,"Via Júlia, 154",Nou Barris,8,Verdun,51,431417.930,4588454.456,2.1789926,41.4447389,"POLYGON ((2.17892346050273 41.4446400204579, 2.17898654924137 41.4446247163701, 2.17915692696763 41.4450149625025, 2.17909011372449 41.4450303572216, 2.17892346050273 41.4446400204579))","POLYGON ((431412.053542906 4588443.53403777, 431417.307537781 4588441.78499519, 431431.950888189 4588484.97495104, 431426.38589293 4588486.736996, 431412.053542906 4588443.53403777))"
26337,"Pg Fabra i Puig, 9411",Nou Barris,8,la Guineueta,48,430345.754,4587775.455,2.1662369,41.4385311,"POLYGON ((2.16621519782197 41.4385558556019, 2.16620096233896 41.4384718751877, 2.16631258593994 41.4384612621021, 2.16632683353383 41.4385452425906, 2.16621519782197 41.4385558556019))","POLYGON ((430343.963838839 4587778.22111039, 430342.684766201 4587768.90910566, 430351.99877102 4587767.64103303, 430353.27884366 4587776.95303775, 430343.963838839 4587778.22111039))"
836481,"Pl Hilari Salvadó, 1",Ciutat Vella,1,la Barceloneta,3,432402.538,4581174.786,2.1915916,41.3792566,"POLYGON ((2.19151303499744 41.3792495939891, 2.19151353560559 41.3792420041594, 2.19151646404581 41.3792353681709, 2.19152212752219 41.3792290216248, 2.19152948046746 41.379224344334, 2.19160204870949 41.3791895176378, 2.19165388680511 41.3792719584126, 2.19161424206076 41.3793753295411, 2.19157575454986 41.3794740879219, 2.19154713130317 41.3794677436885, 2.19154307290587 41.3794661568723, 2.19154005639803 41.3794634874652, 2.19153859374479 41.3794599192149, 2.19151303499744 41.3792495939891), (2.19152912527831 41.3793717950881, 2.19152912126261 41.3793721193309, 2.19152918899509 41.3793724440779, 2.19152935127635 41.3793728595644, 2.19152960966806 41.379373239696, 2.19152977484956 41.3793734210072, 2.19153005883055 41.3793736662057, 2.19153037902027 41.3793738846361, 2.19153049781976 41.3793739485234, 2.19153073553028 41.3793740672915, 2.19153111640255 41.3793742140879, 2.19153166491036 41.3793743440471, 2.1915319394989 41.3793743820065, 2.19153222626857 41.3793744020364, 2.19153251326134 41.3793744040528, 2.19153308791615 41.3793743540451, 2.19153363954727 41.3793742318154, 2.19153402398904 41.3793740903961, 2.19153426459979 41.3793739749887, 2.19153438496093 41.3793739127817, 2.19153471050491 41.3793736988882, 2.19153500050943 41.3793734577225, 2.19153524301646 41.3793731892005, 2.19153537689729 41.379373000983, 2.19153553614428 41.3793726958459, 2.19153561045804 41.3793724891949, 2.19153568756046 41.3793720573752, 2.19153566888708 41.3793716338901, 2.19153562373207 41.3793714173922, 2.19153550805588 41.3793711013159, 2.19153540288762 41.3793709024114, 2.19153527369176 41.3793707123455, 2.19153503787753 41.3793704404629, 2.19153475389653 41.3793701952643, 2.19153443370681 41.379369976834, 2.19153431490733 41.3793699129467, 2.19153407719681 41.3793697941786, 2.19153369632457 41.3793696473822, 2.19153314781679 41.379369517423, 2.19153286127024 41.3793694793796, 2.19153243111576 41.3793694493348, 2.191532000292 41.3793694733304, 2.1915317248111 41.379369507425, 2.19153117318002 41.3793696296546, 2.19153078873827 41.379369771074, 2.19153054812754 41.3793698864814, 2.1915304277664 41.3793699486884, 2.19153010222242 41.3793701625819, 2.1915298122179 41.3793704037476, 2.19152964257452 41.3793705827062, 2.1915294968472 41.3793707618329, 2.19152937481284 41.3793709591411, 2.19152920226923 41.3793713722752, 2.19152912661688 41.3793716870072, 2.19152912527831 41.3793717950881), (2.19153356479482 41.3794082707418, 2.19153356144841 41.3794085409441, 2.19153361610744 41.3794089556745, 2.19153368462081 41.3794092173742, 2.19153380085479 41.3794094884167, 2.1915339292699 41.3794097415298, 2.19153409367067 41.3794099858881, 2.19153450662468 41.379410439166, 2.19153488560087 41.3794107390771, 2.19153515840482 41.3794109211444, 2.19153562197966 41.3794111495896, 2.19153594328505 41.3794112779525, 2.19153644362639 41.3794114345959, 2.19153680147518 41.3794115091703, 2.19153751806513 41.3794115862652, 2.19153788876433 41.3794115888698, 2.1915384274338 41.3794115476168, 2.19153896677256 41.3794114523233, 2.19153913474283 41.3794114084658, 2.19153980729319 41.3794111789953, 2.19154026448731 41.3794109570193, 2.19154054175312 41.3794107788168, 2.19154092809137 41.3794104842827, 2.19154114601316 41.3794102696331, 2.19154135220001 41.379410036886, 2.19154152262429 41.3794097948801, 2.19154178021275 41.3794092742532, 2.19154189274311 41.3794088787126, 2.19154193374833 41.3794084646543, 2.19154190300532 41.379408050092, 2.19154180040253 41.3794076440323, 2.19154162582843 41.3794072554821, 2.19154147349722 41.379407002201, 2.19154129702684 41.3794067667654, 2.19154086004519 41.3794063223263, 2.19154032650687 41.379405949269, 2.19153987489009 41.3794057209078, 2.19153938695302 41.3794055283215, 2.19153904128539 41.3794054358176, 2.19153868343663 41.3794053612431, 2.19153796684674 41.3794052841482, 2.19153759614758 41.3794052815437, 2.19153705747815 41.3794053227967, 2.19153651813945 41.3794054180901, 2.19153618219893 41.3794055058051, 2.19153584592377 41.3794056205404, 2.19153537688319 41.3794058334256, 2.19153522042478 41.3794059133941, 2.19153481050509 41.3794061807399, 2.19153455682072 41.3794063861307, 2.19153433889892 41.3794066007803, 2.19153413271206 41.3794068335273, 2.19153396228777 41.3794070755332, 2.1915337048108 41.3794075871534, 2.19153362971616 41.3794078568516, 2.19153356479482 41.3794082707418), (2.19153796793123 41.3793752620621, 2.19153797341958 41.3793757845374, 2.19153807446065 41.3793763166915, 2.19153818991376 41.3793766507812, 2.19153844685544 41.3793771480005, 2.19153865819591 41.3793774647489, 2.19153890563357 41.3793777637358, 2.19153934294966 41.3793781811547, 2.19153984061365 41.3793785539599, 2.1915402205936 41.3793787728103, 2.19154061286621 41.3793789647245, 2.1915410174315 41.3793791297024, 2.19154145820553 41.3793792679122, 2.1915418993142 41.3793793791017, 2.1915425916531 41.3793794830488, 2.19154305757021 41.3793795223524, 2.19154352393349 41.379379525629, 2.19154423023824 41.3793794675388, 2.19154468553586 41.3793793986774, 2.19154514127965 41.379379293789, 2.19154557344201 41.3793791617124, 2.19154599398097 41.3793790025315, 2.19154639093849 41.3793788161624, 2.19154694513516 41.3793784867775, 2.1915472711253 41.3793782368571, 2.1915475853805 41.3793779688391, 2.19154785202665 41.3793776824716, 2.19154820460992 41.3793772165573, 2.19154838799602 41.3793768935747, 2.19154858557104 41.3793763905412, 2.19154867362751 41.3793760398662, 2.19154872804078 41.3793755088043, 2.19154870847495 41.3793751573732, 2.19154865303504 41.3793748056901, 2.19154842235179 41.3793741194971, 2.19154814138245 41.3793736311166, 2.19154790601433 41.3793733232069, 2.19154764650707 41.3793730331427, 2.19154718505181 41.3793726335694, 2.1915468412806 41.3793723879508, 2.19154647314716 41.3793721781912, 2.19154608098611 41.3793719772703, 2.19154545011061 41.3793717386421, 2.19154478258021 41.3793715628091, 2.19154432906738 41.3793714875625, 2.19154386326188 41.3793714392522, 2.19154339712175 41.3793714179621, 2.1915429185774 41.379371432615, 2.19154246361448 41.3793714744561, 2.19154199635889 41.3793715432334, 2.19154132458976 41.3793717096567, 2.19154069987193 41.3793719394633, 2.1915404953584 41.3793720371092, 2.19153991758032 41.3793723393058, 2.19153956778567 41.3793725800514, 2.19153925364201 41.3793728390626, 2.19153882986824 41.3793732594391, 2.19153859887307 41.3793735640721, 2.19153839157087 41.3793738868867, 2.19153822003122 41.37937421896, 2.19153809621215 41.3793745603761, 2.19153798212018 41.3793750820112, 2.19153796793123 41.3793752620621), (2.19154519791845 41.3794210711057, 2.19154519446054 41.3794213503148, 2.1915452492312 41.3794217560384, 2.19154531763309 41.3794220267449, 2.19154549220725 41.3794224152952, 2.19154564453851 41.3794226685762, 2.19154582100895 41.3794229040118, 2.19154625799074 41.3794233484509, 2.19154679152923 41.3794237215082, 2.19154708847244 41.37942388573, 2.19154757629814 41.379424087323, 2.19154807675114 41.3794242349595, 2.19154843460001 41.379424309534, 2.19154915119012 41.3794243866288, 2.1915495218894 41.3794243892333, 2.19155006055897 41.3794243479802, 2.19155059989781 41.3794242526867, 2.19155093583841 41.3794241649717, 2.19155127211364 41.3794240502364, 2.19155159665391 41.3794239174036, 2.19155189761274 41.3794237573826, 2.19155230753246 41.3794234900367, 2.19155256121684 41.3794232846459, 2.19155288821109 41.3794229536647, 2.19155307048185 41.3794227207496, 2.19155322905962 41.3794224696529, 2.19155341322663 41.3794220836231, 2.19155352586849 41.3794216790757, 2.19155356687365 41.3794212650174, 2.19155353601901 41.3794208594619, 2.19155343341614 41.3794204534022, 2.19155318876686 41.3794199292467, 2.19155293015174 41.3794195671286, 2.19155271769562 41.3794193404476, 2.19155249305838 41.3794191316963, 2.19155223243547 41.3794189316995, 2.19155195951989 41.379418758639, 2.19155150801452 41.3794185212711, 2.19155084126444 41.3794182823909, 2.19155049548518 41.3794181988937, 2.19154995837728 41.3794181140524, 2.19154942060012 41.3794180832515, 2.19154887019565 41.379418106407, 2.19154833107994 41.379418183687, 2.19154798329288 41.3794182623113, 2.19154764712922 41.3794183680398, 2.19154715439559 41.3794185627436, 2.19154685343678 41.3794187227646, 2.1915465762825 41.3794188919604, 2.19154631075162 41.3794190882605, 2.19154608098332 41.3794192938193, 2.19154576583555 41.3794196338912, 2.19154559541127 41.3794198758971, 2.19154533782279 41.379420396524, 2.19154526272819 41.3794206662223, 2.19154519791845 41.3794210711057), (2.19154590006594 41.3794010703174, 2.19154589660804 41.3794013495265, 2.19154595137869 41.3794017552501, 2.19154601978056 41.3794020259566, 2.19154619435467 41.3794024145068, 2.19154634668589 41.3794026677879, 2.19154652315627 41.3794029032235, 2.19154696013794 41.3794033476626, 2.19154749367628 41.3794037207198, 2.1915477906194 41.3794038849416, 2.19154827844495 41.3794040865346, 2.1915487788978 41.3794042341712, 2.19154913674656 41.3794043087456, 2.19154985333645 41.3794043858404, 2.19155022403562 41.3794043884449, 2.19155076270502 41.3794043471919, 2.1915513020437 41.3794042518983, 2.19155163798419 41.3794041641833, 2.19155197425932 41.379404049448, 2.19155229879949 41.3794039166152, 2.19155259975822 41.3794037565942, 2.19155300967782 41.3794034892483, 2.19155326336212 41.3794032838575, 2.19155359035625 41.3794029528763, 2.19155377262696 41.3794027199612, 2.19155393120468 41.3794024688645, 2.19155411537163 41.3794020828347, 2.19155422801344 41.3794016782873, 2.19155426901858 41.379401264229, 2.19155423816395 41.3794008586735, 2.1915541355611 41.3794004526138, 2.19155389091188 41.3793999284583, 2.19155363229684 41.3793995663401, 2.19155341984078 41.3793993396592, 2.19155319520361 41.3793991309078, 2.19155293458078 41.3793989309111, 2.19155266166528 41.3793987578506, 2.19155221016004 41.3793985204827, 2.19155154341016 41.3793982816025, 2.19155119763101 41.3793981981054, 2.19155066052327 41.379398113264, 2.19155012274627 41.3793980824631, 2.19154957234197 41.3793981056186, 2.19154903322643 41.3793981828986, 2.19154868543948 41.3793982615229, 2.19154834927592 41.3793983672514, 2.19154785654244 41.3793985619552, 2.19154755558372 41.3793987219763, 2.19154727842953 41.3793988911721, 2.19154701289874 41.3793990874721, 2.19154678313051 41.3793992930309, 2.19154656509723 41.3793995166873, 2.19154629755862 41.3793998751088, 2.19154603997023 41.3794003957357, 2.19154596487565 41.3794006654339, 2.19154590006594 41.3794010703174))","POLYGON ((432395.958 4581174.064, 432395.992 4581173.221, 432396.23 4581172.482, 432396.697 4581171.773, 432397.307 4581171.248, 432403.339 4581167.325, 432407.759 4581176.437, 432404.551 4581187.944, 432401.435 4581198.938, 432399.035 4581198.256, 432398.694 4581198.083, 432398.439 4581197.789, 432398.313 4581197.394, 432395.958 4581174.064), (432397.43 4581187.618, 432397.43 4581187.654, 432397.436 4581187.69, 432397.45 4581187.736, 432397.472 4581187.778, 432397.486 4581187.798, 432397.51 4581187.825, 432397.537 4581187.849, 432397.547 4581187.856, 432397.567 4581187.869, 432397.599 4581187.885, 432397.645 4581187.899, 432397.668 4581187.903, 432397.692 4581187.905, 432397.716 4581187.905, 432397.764 4581187.899, 432397.81 4581187.885, 432397.842 4581187.869, 432397.862 4581187.856, 432397.872 4581187.849, 432397.899 4581187.825, 432397.923 4581187.798, 432397.943 4581187.768, 432397.954 4581187.747, 432397.967 4581187.713, 432397.973 4581187.69, 432397.979 4581187.642, 432397.977 4581187.595, 432397.973 4581187.571, 432397.963 4581187.536, 432397.954 4581187.514, 432397.943 4581187.493, 432397.923 4581187.463, 432397.899 4581187.436, 432397.872 4581187.412, 432397.862 4581187.405, 432397.842 4581187.392, 432397.81 4581187.376, 432397.764 4581187.362, 432397.74 4581187.358, 432397.704 4581187.355, 432397.668 4581187.358, 432397.645 4581187.362, 432397.599 4581187.376, 432397.567 4581187.392, 432397.547 4581187.405, 432397.537 4581187.412, 432397.51 4581187.436, 432397.486 4581187.463, 432397.472 4581187.483, 432397.46 4581187.503, 432397.45 4581187.525, 432397.436 4581187.571, 432397.43 4581187.606, 432397.43 4581187.618), (432397.839 4581191.664, 432397.839 4581191.694, 432397.844 4581191.74, 432397.85 4581191.769, 432397.86 4581191.799, 432397.871 4581191.827, 432397.885 4581191.854, 432397.92 4581191.904, 432397.952 4581191.937, 432397.975 4581191.957, 432398.014 4581191.982, 432398.041 4581191.996, 432398.083 4581192.013, 432398.113 4581192.021, 432398.173 4581192.029, 432398.204 4581192.029, 432398.249 4581192.024, 432398.294 4581192.013, 432398.308 4581192.008, 432398.364 4581191.982, 432398.402 4581191.957, 432398.425 4581191.937, 432398.457 4581191.904, 432398.475 4581191.88, 432398.492 4581191.854, 432398.506 4581191.827, 432398.527 4581191.769, 432398.536 4581191.725, 432398.539 4581191.679, 432398.536 4581191.633, 432398.527 4581191.588, 432398.512 4581191.545, 432398.499 4581191.517, 432398.484 4581191.491, 432398.447 4581191.442, 432398.402 4581191.401, 432398.364 4581191.376, 432398.323 4581191.355, 432398.294 4581191.345, 432398.264 4581191.337, 432398.204 4581191.329, 432398.173 4581191.329, 432398.128 4581191.334, 432398.083 4581191.345, 432398.055 4581191.355, 432398.027 4581191.368, 432397.988 4581191.392, 432397.975 4581191.401, 432397.941 4581191.431, 432397.92 4581191.454, 432397.902 4581191.478, 432397.885 4581191.504, 432397.871 4581191.531, 432397.85 4581191.588, 432397.844 4581191.618, 432397.839 4581191.664), (432398.173 4581187.996, 432398.174 4581188.054, 432398.183 4581188.113, 432398.193 4581188.15, 432398.215 4581188.205, 432398.233 4581188.24, 432398.254 4581188.273, 432398.291 4581188.319, 432398.333 4581188.36, 432398.365 4581188.384, 432398.398 4581188.405, 432398.432 4581188.423, 432398.469 4581188.438, 432398.506 4581188.45, 432398.564 4581188.461, 432398.603 4581188.465, 432398.642 4581188.465, 432398.701 4581188.458, 432398.739 4581188.45, 432398.777 4581188.438, 432398.813 4581188.423, 432398.848 4581188.405, 432398.881 4581188.384, 432398.927 4581188.347, 432398.954 4581188.319, 432398.98 4581188.289, 432399.002 4581188.257, 432399.031 4581188.205, 432399.046 4581188.169, 432399.062 4581188.113, 432399.069 4581188.074, 432399.073 4581188.015, 432399.071 4581187.976, 432399.066 4581187.937, 432399.046 4581187.861, 432399.022 4581187.807, 432399.002 4581187.773, 432398.98 4581187.741, 432398.941 4581187.697, 432398.912 4581187.67, 432398.881 4581187.647, 432398.848 4581187.625, 432398.795 4581187.599, 432398.739 4581187.58, 432398.701 4581187.572, 432398.662 4581187.567, 432398.623 4581187.565, 432398.583 4581187.567, 432398.545 4581187.572, 432398.506 4581187.58, 432398.45 4581187.599, 432398.398 4581187.625, 432398.381 4581187.636, 432398.333 4581187.67, 432398.304 4581187.697, 432398.278 4581187.726, 432398.243 4581187.773, 432398.224 4581187.807, 432398.207 4581187.843, 432398.193 4581187.88, 432398.183 4581187.918, 432398.174 4581187.976, 432398.173 4581187.996), (432398.825 4581193.076, 432398.825 4581193.107, 432398.83 4581193.152, 432398.836 4581193.182, 432398.851 4581193.225, 432398.864 4581193.253, 432398.879 4581193.279, 432398.916 4581193.328, 432398.961 4581193.369, 432398.986 4581193.387, 432399.027 4581193.409, 432399.069 4581193.425, 432399.099 4581193.433, 432399.159 4581193.441, 432399.19 4581193.441, 432399.235 4581193.436, 432399.28 4581193.425, 432399.308 4581193.415, 432399.336 4581193.402, 432399.363 4581193.387, 432399.388 4581193.369, 432399.422 4581193.339, 432399.443 4581193.316, 432399.47 4581193.279, 432399.485 4581193.253, 432399.498 4581193.225, 432399.513 4581193.182, 432399.522 4581193.137, 432399.525 4581193.091, 432399.522 4581193.046, 432399.513 4581193.001, 432399.492 4581192.943, 432399.47 4581192.903, 432399.452 4581192.878, 432399.433 4581192.855, 432399.411 4581192.833, 432399.388 4581192.814, 432399.35 4581192.788, 432399.294 4581192.762, 432399.265 4581192.753, 432399.22 4581192.744, 432399.175 4581192.741, 432399.129 4581192.744, 432399.084 4581192.753, 432399.055 4581192.762, 432399.027 4581192.774, 432398.986 4581192.796, 432398.961 4581192.814, 432398.938 4581192.833, 432398.916 4581192.855, 432398.897 4581192.878, 432398.871 4581192.916, 432398.857 4581192.943, 432398.836 4581193.001, 432398.83 4581193.031, 432398.825 4581193.076), (432398.863 4581190.855, 432398.863 4581190.886, 432398.868 4581190.931, 432398.874 4581190.961, 432398.889 4581191.004, 432398.902 4581191.032, 432398.917 4581191.058, 432398.954 4581191.107, 432398.999 4581191.148, 432399.024 4581191.166, 432399.065 4581191.188, 432399.107 4581191.204, 432399.137 4581191.212, 432399.197 4581191.22, 432399.228 4581191.22, 432399.273 4581191.215, 432399.318 4581191.204, 432399.346 4581191.194, 432399.374 4581191.181, 432399.401 4581191.166, 432399.426 4581191.148, 432399.46 4581191.118, 432399.481 4581191.095, 432399.508 4581191.058, 432399.523 4581191.032, 432399.536 4581191.004, 432399.551 4581190.961, 432399.56 4581190.916, 432399.563 4581190.87, 432399.56 4581190.825, 432399.551 4581190.78, 432399.53 4581190.722, 432399.508 4581190.682, 432399.49 4581190.657, 432399.471 4581190.634, 432399.449 4581190.612, 432399.426 4581190.593, 432399.388 4581190.567, 432399.332 4581190.541, 432399.303 4581190.532, 432399.258 4581190.523, 432399.213 4581190.52, 432399.167 4581190.523, 432399.122 4581190.532, 432399.093 4581190.541, 432399.065 4581190.553, 432399.024 4581190.575, 432398.999 4581190.593, 432398.976 4581190.612, 432398.954 4581190.634, 432398.935 4581190.657, 432398.917 4581190.682, 432398.895 4581190.722, 432398.874 4581190.78, 432398.868 4581190.81, 432398.863 4581190.855))"
42784,"C\ València, 685",Sant Martí,10,el Clot,65,432425.632,4585051.443,2.1914352,41.4141745,"POLYGON ((2.19157901414824 41.4144198221313, 2.19158071788129 41.4144252385877, 2.19141552765764 41.4144604949635, 2.1914147862827 41.4144585261236, 2.19135310521712 41.4142809245847, 2.19142145110781 41.41426652459, 2.19137001506494 41.4141244214567, 2.19146628580015 41.4141015254852, 2.19157901414824 41.4144198221313))","POLYGON ((432437.908 4585078.561, 432438.056 4585079.161, 432424.287 4585083.204, 432424.223 4585082.986, 432418.884 4585063.317, 432424.581 4585061.665, 432420.135 4585045.929, 432428.157 4585043.312, 432437.908 4585078.561))"
662687,"G.V. Corts Catalanes, 923",Sant Martí,10,el Clot,65,432714.497,4584566.720,2.1949452,41.4098330,"POLYGON ((2.194913060991 41.4097777859332, 2.19500101372824 41.4098194124188, 2.19504347366898 41.409990212135, 2.19494991532127 41.4099093278791, 2.194913060991 41.4097777859332))","POLYGON ((432711.756 4584560.612, 432719.15 4584565.165, 432722.875 4584584.094, 432714.972 4584575.187, 432711.756 4584560.612))"
44049,"G.V. Corts Catalanes, 923",Sant Martí,10,el Clot,65,432593.825,4584457.160,2.1935137,41.4088361,"POLYGON ((2.19359416502794 41.4087819597414, 2.19356857802238 41.4088850782286, 2.19349095231473 41.4088812193574, 2.19341105861901 41.4087734341979, 2.19344563484754 41.4087299902919, 2.19352382723104 41.4087576689538, 2.19359416502794 41.4087819597414))","POLYGON ((432600.494 4584451.082, 432598.462 4584462.55, 432591.97 4584462.182, 432585.181 4584450.278, 432588.026 4584445.428, 432594.59 4584448.44, 432600.494 4584451.082))"
