id,name,created,modified,core_type,core_type_name,body,addresses_district_id,addresses_district_name,addresses_neighborhood_id,addresses_neighborhood_name,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_town,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_asia_id,geo_imi_x,geo_imi_y,values_value
﻿354143355,Casa Comalat,2000-12-19T00:00:00+01:00,2022-09-17T02:20:57.874843+02:00,place,Equipament,,02,Eixample,07,la Dreta de l'Eixample,Av Diagonal,442,,BARCELONA,29967624,Punts d'interès cultural,Equipaments >> Cultura i lleure >> Punts d'interès cultural,0040102004029,29934971.181558795,83382981.44946061,-
﻿354143355,Casa Comalat,2000-12-19T00:00:00+01:00,2022-09-17T02:20:57.874843+02:00,place,Equipament,,02,Eixample,07,la Dreta de l'Eixample,Av Diagonal,442,,BARCELONA,62089769,Nivell 3,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Nivell 3,0040103004029012,29934971.181558795,83382981.44946061,-
﻿354143355,Casa Comalat,2000-12-19T00:00:00+01:00,2022-09-17T02:20:57.874843+02:00,place,Equipament,,02,Eixample,07,la Dreta de l'Eixample,Av Diagonal,442,,BARCELONA,62089761,Patrimoni cultural,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Patrimoni cultural,0040103004029004,29934971.181558795,83382981.44946061,-
﻿2114173213,Escola Superior de Disseny IED Barcelona,2002-04-24T00:00:00+02:00,2021-12-30T10:15:36.096936+01:00,place,Equipament,,06,Gràcia,31,la Vila de Gràcia,Carrer de Biada,11,11,Barcelona,29967624,Punts d'interès cultural,Equipaments >> Cultura i lleure >> Punts d'interès cultural,0040102004029,29464062.705869086,84313238.22948709,932385889
﻿2114173213,Escola Superior de Disseny IED Barcelona,2002-04-24T00:00:00+02:00,2021-12-30T10:15:36.096936+01:00,place,Equipament,,06,Gràcia,31,la Vila de Gràcia,Carrer de Biada,11,11,Barcelona,62089757,Espais d'estudi i recerca,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Espais d'estudi i recerca,0040103004029000,29464062.705869086,84313238.22948709,932385889
﻿2114173213,Escola Superior de Disseny IED Barcelona,2002-04-24T00:00:00+02:00,2021-12-30T10:15:36.096936+01:00,place,Equipament,,06,Gràcia,31,la Vila de Gràcia,Carrer de Biada,11,11,Barcelona,62089769,Nivell 3,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Nivell 3,0040103004029012,29464062.705869086,84313238.22948709,932385889
﻿93188125133,Parc de la Trinitat,1993-07-07T00:00:00+02:00,2022-11-23T12:39:23.185491+01:00,place,Equipament,,09,Sant Andreu,60,Sant Andreu,Pg Santa Coloma,60,,BARCELONA,29967624,Punts d'interès cultural,Equipaments >> Cultura i lleure >> Punts d'interès cultural,0040102004029,32908981.448711537,89148893.46304722,010
﻿93188125133,Parc de la Trinitat,1993-07-07T00:00:00+02:00,2022-11-23T12:39:23.185491+01:00,place,Equipament,,09,Sant Andreu,60,Sant Andreu,Pg Santa Coloma,60,,BARCELONA,62089758,Espais urbans,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Espais urbans,0040103004029001,32908981.448711537,89148893.46304722,010
﻿93188125133,Parc de la Trinitat,1993-07-07T00:00:00+02:00,2022-11-23T12:39:23.185491+01:00,place,Equipament,,09,Sant Andreu,60,Sant Andreu,Pg Santa Coloma,60,,BARCELONA,62089769,Nivell 3,Equipaments >> Cultura i lleure >> Punts d'interès cultural >> Nivell 3,0040103004029012,32908981.448711537,89148893.46304722,010
﻿92086030398,Platja de Sant Sebastià,1989-06-30T00:00:00+02:00,2022-08-02T08:54:40.233931+02:00,place,Equipament,"<p>Consulteu <a href=""https://www.barcelona.cat/ca/que-pots-fer-a-bcn/banys-i-platges"" target=""_blank"">sobre el mapa </a> el nivell d'ocupació de cada platja.</p><p>A partir del 30 de juliol de 2022 queda prohibit fumar a les platges de Barcelona.</p><p>S'exceptua d'aquesta prohibició l'espai ocupat per les ""guinguetes-bar"" de temporada instal·lades a la sorra.</p>",01,Ciutat Vella,03,la Barceloneta,Passeig Marítim de la Barceloneta,2,,Barcelona,29967624,Punts d'interès cultural,Equipaments >> Cultura i lleure >> Punts d'interès cultural,0040102004029,32331424.61950623,80764702.18772349,
