register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400234956,Punt Verd de Barri - Nova Esquerra de l'Eixample,,,2009-10-29T12:32:32+01:00,2022-11-14T11:10:51.833268+01:00,,,285807,C Rocafort,226,,09,la Nova Esquerra de l'Eixample,02,Eixample,08029,BARCELONA,True,,222852,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,428598.62002351304,4581924.793028031,41.38568313470462,2.1460163452946697
﻿99400234223,Punt Verd de Barri - Barcardí,,,2009-10-21T14:37:57+02:00,2022-11-14T11:01:24.550170+01:00,,,343903,Trav Corts,122,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,BARCELONA,True,,222587,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,426823.2424226331,4581276.620974147,41.37968578110711,2.1248628775214358
﻿99400234963,Punt Verd de Barri - Horta-Carmel,,,2009-10-29T13:32:49+01:00,2022-11-14T11:06:50.092347+01:00,,,097807,C Dante Alighieri,77,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,222960,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,429626.55406038,4586567.467970397,41.427588553085386,2.157769640951865
﻿99400237316,Punt Verd de Barri - Ciutat Meridiana,,,2009-11-30T14:49:28+01:00,2022-11-14T11:03:27.728652+01:00,,,092950,C Costabona,4,,55,Ciutat Meridiana,08,Nou Barris,08033,BARCELONA,True,,222707,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,431337.1846859035,4590340.3365779165,41.46171736162206,2.1778115794473596
﻿99400420619,Punt Verd de Barri - Mercat del Ninot,,,2016-02-05T09:56:20+01:00,2022-11-14T11:10:21.737353+01:00,,,191204,C Mallorca,157,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,,,,,,,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,429267.37246250693,4582210.884376914,41.38831893759091,2.1539805976722075
﻿99400237319,Punt Verd de Barri - Les Roquetes,,,2009-11-30T00:00:00+01:00,2022-11-14T11:09:52.270564+01:00,,,004409,C Aiguablava,1,,53,la Trinitat Nova,08,Nou Barris,08042,BARCELONA,True,,222942,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,431526.4671732299,4588753.152068652,41.44743839969133,2.180257888540178
﻿99400315466,Punt Verd de Barri - Barceloneta,,,2013-04-11T14:52:45+02:00,2022-11-14T11:23:57.165045+01:00,,,294874,Pg Salvat Papasseit,3,,03,la Barceloneta,01,Ciutat Vella,08003,BARCELONA,True,,225645,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,432423.4019383252,4581450.23544548,41.38173930667417,2.1918104137567083
﻿99400027263,Punt Verd de Barri - Clot,,,2002-11-18T10:03:50+01:00,2022-11-14T11:04:40.269765+01:00,,,113506,C Escultors Claperós,51,,65,el Clot,10,Sant Martí,08018,BARCELONA,True,,205767,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,432352.6320465682,4584334.482293566,41.40771096160449,2.1906419217591653
﻿99400274395,Punt Verd de Barri - Poblenou,,,2011-07-13T12:11:31+02:00,2022-11-14T11:12:17.431468+01:00,,,075702,C Carmen Amaya,10,,68,el Poblenou,10,Sant Martí,08005,BARCELONA,True,,224584,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,433537.2678016823,4583005.064494729,41.3958360636029,2.2049599775816993
﻿99400171807,Punt Verd de Barri - Sant Martí de Provençals,,,2006-11-14T11:30:53+01:00,2022-11-14T11:19:45.175655+01:00,,,015201,C Andrade,150,,72,Sant Martí de Provençals,10,Sant Martí,08020,BARCELONA,True,,216267,100050,Telèfons,No tenen telèfon,-,True,,65731069,Punts verds de barri,Planol BCN >> Medi ambient >> Medi ambient >> Punts verds de barri,651,0065103012000001,433205.52459151426,4585191.988102301,41.41550559571904,2.2007506210413705
