Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,Num_Exposicions_Temporals,"Arxiu Fotogràfic de Barcelona",3,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions",Arxius,"Història i memòria",41.386872640,2.181806284
2021,Visitants,"Arxiu Fotogràfic de Barcelona",14102,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions",Arxius,"Història i memòria",41.386872640,2.181806284
2021,Visites_Exposicions_Temporals,"Arxiu Fotogràfic de Barcelona",14022,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres d'exposicions",Arxius,"Història i memòria",41.386872640,2.181806284
2021,Visitants,"Basílica de la Sagrada Família",1011241,,,02,Eixample,06,"la Sagrada Família",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.403188985,2.174826626
2021,Num_Exposicions_Temporals,CaixaForum,7,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2021,Visitants,CaixaForum,390239,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2021,Visites_Exposicions_Temporals,CaixaForum,434290,,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2021,Num_Exposicions_Temporals,"Can Framis. Fundació Vila Casas",4,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2021,Visitants,"Can Framis. Fundació Vila Casas",20850,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2021,Visites_Exposicions_Temporals,"Can Framis. Fundació Vila Casas",18669,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2021,Visitants,"Casa Amatller",8737,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3913381,2.16468108
2021,Visitants,"Casa Batlló",299238,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3916967,2.1649608
2021,Num_Exposicions_Temporals,"Casa Vicens",4,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2021,Visitants,"Casa Vicens",70572,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2021,Visites_Exposicions_Temporals,"Casa Vicens",63037,,,06,Gràcia,31,"la Vila de Gràcia",Privada,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4036093,2.1512308
2021,Num_Exposicions_Temporals,"Castell de Montjuïc",5,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2021,Visitants,"Castell de Montjuïc",384905,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2021,Visites_Exposicions_Temporals,"Castell de Montjuïc",222827,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
