year;indicator;equipment;district_code;district_name;neighborhood_code;neighborhood_name;general_type;equipment_type;scope;latitude;longitude
2021;Num_Exposicions_Temporals;Arxiu Fotogràfic de Barcelona;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres d'exposicions;Arxius;Història i memòria;41386872640;2181806284
2021;Visitants;Arxiu Fotogràfic de Barcelona;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres d'exposicions;Arxius;Història i memòria;41386872640;2181806284
2021;Visites_Exposicions_Temporals;Arxiu Fotogràfic de Barcelona;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres d'exposicions;Arxius;Història i memòria;41386872640;2181806284
2021;Visitants;Basílica de la Sagrada Família;2;Eixample;6;la Sagrada Família;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;41403188985;2174826626
2021;Num_Exposicions_Temporals;CaixaForum;3;Sants-Montjuïc;14;la Font de la Guatlla;Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441
2021;Visitants;CaixaForum;3;Sants-Montjuïc;14;la Font de la Guatlla;Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441
2021;Visites_Exposicions_Temporals;CaixaForum;3;Sants-Montjuïc;14;la Font de la Guatlla;Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441
2021;Num_Exposicions_Temporals;Can Framis. Fundació Vila Casas;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;41402912812;2194947848
2021;Visitants;Can Framis. Fundació Vila Casas;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;41402912812;2194947848
2021;Visites_Exposicions_Temporals;Can Framis. Fundació Vila Casas;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Centres patrimonials;Museus i col·leccions;Arts visuals;41402912812;2194947848
2021;Visitants;Casa Amatller;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;413913381;216468108
2021;Visitants;Casa Batlló;2;Eixample;7;la Dreta de l'Eixample;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;413916967;21649608
2021;Num_Exposicions_Temporals;Casa Vicens;6;Gràcia;31;la Vila de Gràcia;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;414036093;21512308
2021;Visitants;Casa Vicens;6;Gràcia;31;la Vila de Gràcia;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;414036093;21512308
2021;Visites_Exposicions_Temporals;Casa Vicens;6;Gràcia;31;la Vila de Gràcia;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;414036093;21512308
2021;Num_Exposicions_Temporals;Castell de Montjuïc;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;413675648;21685315
2021;Visitants;Castell de Montjuïc;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;413675648;21685315
2021;Visites_Exposicions_Temporals;Castell de Montjuïc;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;413675648;21685315
2021;Num_Exposicions_Temporals;Centre de Cultura Contemporània de Barcelona. CCCB;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41383883057;2166795152
2021;Visitants;Centre de Cultura Contemporània de Barcelona. CCCB;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41383883057;2166795152
2021;Visites_Exposicions_Temporals;Centre de Cultura Contemporània de Barcelona. CCCB;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41383883057;2166795152
