  id;name;created;modified;addresses_road_name;addresses_start_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400297199;Espai Gimnàstic per a Gent Gran * Conca de Tremp - Sigüenza - Passatge Calafell;11.07.12 10:07;29.04.22 05:16;C Conca de Tremp;6;37;el Carmel;7;Horta-Guinardó;8032;BARCELONA;4,29366E+15;4,5862E+16;4,14242E+15;2,1547E+16
﻿99400297246;Espai Gimnàstic per a Gent Gran;12.07.12 00:00;29.04.22 05:17;C Comte Borrell;44;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,30025E+16;4,58103E+15;4,13777E+15;2,16318E+14
﻿99400575478;Espai Gimnàstic per a Gent Gran;25.01.18 09:58;29.03.21 16:44;Pg Fabra i Puig;396;46;el Turó de la Peira;8;Nou Barris;8031;BARCELONA;4,30108E+15;4,58722E+14;4,14335E+16;2,16346E+15
﻿99400575480;Espai Gimnàstic per a Gent Gran *Via Favència - Via Barcino;25.01.18 10:05;29.03.21 16:44;Via Bàrcino;104;57;la Trinitat Vella;9;Sant Andreu;8033;BARCELONA;4,32506E+15;4,58881E+15;4,1448E+15;2,19197E+16
﻿99400575491;Espai Gimnàstic per a Gent Gran  *Pl Assemblea de Catalunya;25.01.18 11:09;29.03.21 16:44;C Antilles;11;61;la Sagrera;9;Sant Andreu;8027;BARCELONA;4,32161E+15;4,58625E+14;4,14249E+15;2,18814E+15
﻿99400575510;Espai Gimnàstic per a Gent Gran  *Plaça Alta de Can Clos;25.01.18 12:03;29.03.21 16:44;Pl Alta de Can Clos;;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,2862E+16;4,57927E+15;4,13617E+16;2,14659E+16
﻿99400297205;Àrea Esportiva;11.07.12 00:00;29.04.22 05:16;Pg Marítim del Bogatell;80;68;el Poblenou;10;Sant Martí;8005;BARCELONA;4,33686E+15;4,58287E+15;4,13946E+15;2,20675E+14
﻿99400575437;Espai Gimnàstic per a Gent Gran *Pl del Mar;24.01.18 16:18;29.03.21 16:44;Pl Mar;4;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32131E+15;4,58052E+14;4,13733E+15;2,18841E+15
﻿99400297249;Àrea Esportiva;12.07.12 00:00;29.04.22 05:17;C Lloret de Mar;81;43;Horta;7;Horta-Guinardó;8031;BARCELONA;4,29641E+15;4,58753E+15;4,14363E+14;2,15782E+16
﻿99400297250;Àrea Esportiva *Pardo - Can Ros - Concepció Arenal;12.07.12 10:07;29.04.22 05:17;C Can Ros;41;62;el Congrés i els Indians;9;Sant Andreu;8027;BARCELONA;4,31757E+15;4,58647E+15;4,14269E+15;2,18328E+16
﻿99400297206;Àrea Esportiva;11.07.12 00:00;29.04.22 05:16;Pg Marítim de Nova Icària;60;67;la Vila Olímpica del Poblenou;10;Sant Martí;8005;BARCELONA;4,33469E+15;4,58251E+15;4,13914E+15;2,2042E+15
﻿99400297248;Àrea Esportiva;12.07.12 00:00;29.04.22 05:17;Ptge Simó;9;6;la Sagrada Família;2;Eixample;8025;BARCELONA;4,30887E+15;4,58398E+15;4,14044E+14;2,17315E+15
﻿99400575481;Espai Gimnàstic per a Gent Gran  *Plaça Mainada;25.01.18 10:12;29.03.21 16:44;Pl Mainada;1;63;Navas;9;Sant Andreu;8027;BARCELONA;4,31787E+16;4,58566E+15;4,14196E+15;2,18373E+15
﻿99400575494;Espai Gimnàstic per a Gent Gran;25.01.18 11:13;29.03.21 16:44;C Valentí Iglésias;19;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32313E+16;4,58802E+15;4,14409E+16;2,18975E+15
﻿99400575512;Espai Gimnàstic per a Gent Gran;25.01.18 12:12;29.03.21 16:44;Ptge Maluquer;8;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;4,27863E+15;4,5845E+15;4,14088E+16;2,13691E+14
﻿99400575444;Espai Gimnàstic per a Gent Gran;24.01.18 00:00;29.03.21 16:44;C Padilla;210;6;la Sagrada Família;2;Eixample;8013;BARCELONA;4,31443E+15;4,58394E+15;4,14041E+16;2,1798E+16
﻿99400575453;Espai Gimnàstic per a Gent Gran;24.01.18 00:00;29.03.21 16:44;Pg Mare de Déu del Coll;77;29;el Coll;6;Gràcia;8023;BARCELONA;4,28655E+16;4,58565E+15;4,14193E+16;2,14625E+16
﻿99400575460;Espai Gimnàstic per a Gent Gran *Plaça de les Sibil·les;25.01.18 09:14;29.03.21 16:44;C Jorge Manrique;28;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28765E+15;4,58709E+15;4,14323E+16;2,14739E+15
﻿99400575496;Espai Gimnàstic per a Gent Gran;25.01.18 11:17;29.03.21 16:44;Camí Antic de València;63;68;el Poblenou;10;Sant Martí;8005;BARCELONA;4,33287E+16;4,58415E+14;4,14061E+14;2,20184E+15
﻿99400575504;Espai Gimnàstic per a Gent Gran *Av Bogatell;25.01.18 11:51;29.03.21 16:44;Av Bogatell;24;67;la Vila Olímpica del Poblenou;10;Sant Martí;8005;BARCELONA;4,32845E+15;4,5827E+15;4,1393E+15;2,19672E+16
﻿99400575427;Espai Gimnàstic per a Gent Gran *Espigó del Gas;24.01.18 16:03;29.03.21 16:44;Pg Marítim de la Barceloneta;21;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32821E+15;4,5814E+15;4,13813E+16;2,19657E+16
﻿99400575438;Espai Gimnàstic per a Gent Gran;24.01.18 00:00;29.03.21 16:44;C Rosselló;149;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,2899E+16;4,5823E+15;4,13891E+16;2,15065E+16
﻿99400575458;Espai Gimnàstic per a Gent Gran *Plaça Palestina;24.01.18 17:46;29.03.21 16:44;C Sinaí;6;39;Sant Genís dels Agudells;7;Horta-Guinardó;8035;BARCELONA;4,28059E+16;4,58627E+15;4,14248E+15;2,13904E+15
﻿99400575467;Espai Gimnàstic per a Gent Gran  *Pl Carmen Laforet;25.01.18 09:39;29.03.21 16:44;Pl Carmen Laforet;10;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8016;BARCELONA;4,31188E+14;4,58648E+15;4,14269E+15;2,17647E+16
﻿99400297202;Espai Gimnàstic per a Gent Gran *Perea - Vall Hebron;11.07.12 10:34;29.04.22 05:16;C Perea;1;39;Sant Genís dels Agudells;7;Horta-Guinardó;8035;BARCELONA;4,28241E+15;4,58621E+15;4,14243E+15;2,14123E+13
﻿99400575501;Espai Gimnàstic per a Gent Gran *Jocs Esportius Diagonal Mar;25.01.18 11:36;29.03.21 16:44;C Pujades;402;69;Diagonal Mar i el Front Marítim del Poblenou;10;Sant Martí;8019;BARCELONA;4,3418E+14;4,58461E+15;4,14104E+15;2,21248E+16
﻿99400575506;Espai Gimnàstic per a Gent Gran;25.01.18 11:54;29.03.21 16:44;C Mare de Déu de Port;172;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,28303E+16;4,57901E+15;4,13594E+15;2,14282E+16
﻿99400575508;Espai Gimnàstic per a Gent Gran  *Plaça Navas;25.01.18 11:59;29.03.21 16:44;Pl Las Navas;4;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29711E+16;4,58062E+14;4,13741E+15;2,15947E+15
﻿99400575430;Espai Gimnàstic per a Gent Gran;24.01.18 16:08;29.03.21 16:44;Pg Marítim de la Barceloneta;15;3;la Barceloneta;1;Ciutat Vella;8003;BARCELONA;4,32593E+16;4,58148E+15;4,13821E+15;2,19384E+16
﻿99400575454;Espai Gimnàstic per a Gent Gran  *Parc Sanitari Pere Virgili;24.01.18 17:28;29.03.21 16:44;C Esteve Terradas;30;28;Vallcarca i els Penitents;6;Gràcia;8023;BARCELONA;4,2815E+16;4,58518E+15;4,1415E+15;2,14027E+15
﻿99400575456;Espai Gimnàstic per a Gent Gran;24.01.18 17:36;29.03.21 16:44;C Marina;380;33;el Baix Guinardó;7;Horta-Guinardó;8025;BARCELONA;4,30442E+16;4,58458E+15;4,14098E+16;2,16775E+16
﻿99400575462;Espai Gimnàstic per a Gent Gran;25.01.18 09:20;29.03.21 16:44;C Cardenal Reig;35;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,2616E+15;4,5812E+15;4,1379E+15;2,11694E+16
﻿99400575466;Espai Gimnàstic per a Gent Gran *Pujalt;25.01.18 09:35;29.03.21 16:44;C Pujalt;5;56;Vallbona;8;Nou Barris;8033;BARCELONA;4,31742E+15;4,59047E+15;4,14629E+15;2,18265E+16
﻿99400172076;Espai Gimnàstic per a Gent Gran;17.11.06 13:49;29.03.21 17:00;C Eduardo Conde;22;23;Sarrià;5;Sarrià-Sant Gervasi;8034;BARCELONA;4,26532E+15;4,58286E+15;4,13939E+16;2,12119E+15
﻿99400575421;Espai Gimnàstic per a Gent Gran  *Arc de Teatre;24.01.18 15:50;29.03.21 16:44;C Arc del Teatre;20;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30939E+16;4,58096E+15;4,13772E+15;2,17412E+16
﻿99400575457;Espai Gimnàstic per a Gent Gran;24.01.18 17:39;29.03.21 16:44;Av Estatut de Catalunya;20;43;Horta;7;Horta-Guinardó;8032;BARCELONA;4,2926E+15;4,58724E+15;4,14336E+15;2,1533E+16
﻿99400575465;Espai Gimnàstic per a Gent Gran  *Zona Esportiva Àntic Camp de Futbol;25.01.18 09:32;29.03.21 16:44;Av Rasos de Peguera;55;55;Ciutat Meridiana;8;Nou Barris;8033;BARCELONA;4,31106E+16;4,5901E+15;4,14595E+16;2,17507E+15
﻿99400575474;Espai Gimnàstic per a Gent Gran;25.01.18 00:00;29.03.21 16:44;C Costa i Cuxart;20;44;Vilapicina i la Torre Llobeta;8;Nou Barris;8016;BARCELONA;4,31126E+15;4,58657E+15;4,14277E+15;2,17572E+15
