register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086000770;Teatre;28.04.86 00:00;17.09.22 03:46;C Canuda;6;;2;el Barri Gòtic;1;Ciutat Vella;8002;BARCELONA;4,30742E+16;4,58179E+15;4,13847E+15;2,17166E+15
﻿99400187243;Teatre Gaudí de Barcelona;13.07.07 12:42;22.11.22 12:33;C Sant Antoni Maria Claret;120;;6;la Sagrada Família;2;Eixample;8025;BARCELONA;4,30587E+12;4,58432E+14;4,14075E+15;2,16952E+15
﻿1331141308;Sala Espai Lliure;27.11.01 00:00;17.09.22 02:33;Pl Margarida Xirgu;1;;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29538E+16;4,58025E+15;4,13707E+15;2,15745E+16
﻿92086026021;Espai Jove La Bàscula;08.03.88 00:00;29.09.22 12:57;Carrer del Foc;128;;13;la Marina de Port;3;Sants-Montjuïc;8038;Barcelona;4,28427E+16;4,57889E+15;4,13583E+15;2,14432E+16
﻿92086026021;Espai Jove La Bàscula;08.03.88 00:00;29.09.22 12:57;Carrer del Foc;128;;13;la Marina de Port;3;Sants-Montjuïc;8038;Barcelona;4,28427E+16;4,57889E+15;4,13583E+15;2,14432E+16
﻿75990107722;Teatre El Llantiol;18.09.96 00:00;17.09.22 03:00;C Riereta;7;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30385E+16;4,58115E+15;4,13789E+15;2,16747E+16
﻿92086010382;Somni'ts (Teatre Solidari);22.04.86 00:00;17.09.22 04:13;C Coroleu;15;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32172E+15;4,58712E+16;4,14328E+15;2,18817E+15
﻿99400154737;La Perla 29;27.02.06 12:58;17.09.22 06:34;C Torrent d'en Vidalet;21;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29752E+16;4,58393E+15;4,14038E+16;2,15958E+16
﻿92086011045;Teatre;15.04.88 00:00;17.09.22 04:15;Rbla Poblenou;42;;68;el Poblenou;10;Sant Martí;8005;BARCELONA;4,33398E+15;4,58344E+15;4,13997E+15;2,20325E+16
﻿92086015480;Cooperativa Nova Obrera;24.04.86 00:00;17.09.22 04:25;C Guadiana;22;;18;Sants;3;Sants-Montjuïc;8014;BARCELONA;4,28015E+15;4,58066E+15;4,13743E+16;2,13919E+16
﻿92086002091;Auditòrium;28.04.86 00:00;17.09.22 03:50;Av Diagonal;643;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26406E+15;4,58199E+15;4,13861E+15;2,11979E+16
﻿99400027415;Auditori;19.11.02 18:16;17.09.22 05:59;C Sants;79;;18;Sants;3;Sants-Montjuïc;8014;BARCELONA;4,27825E+13;4,58078E+15;4,13753E+15;2,1369E+15
﻿99400311203;Sala Fènix;18.02.13 14:51;22.11.22 10:21;C Riereta;31;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30518E+15;4,58102E+15;4,13777E+15;2,16908E+16
﻿98083181348;Cinemes Boliche;24.03.98 00:00;19.07.21 14:11;Avinguda Diagonal;508;;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8006;Barcelona;4,29252E+16;4,58299E+15;4,13953E+15;2,15371E+15
﻿75990131879;Cinemes Verdi;18.09.96 00:00;21.10.22 14:58;Carrer de Verdi;32;;31;la Vila de Gràcia;6;Gràcia;8012;Barcelona;4,29556E+15;4,58397E+15;4,14042E+15;2,15723E+16
﻿99400406294;Eòlia Teatre;16.11.15 00:00;17.09.22 08:29;C Bailèn;23;;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31127E+16;4,58267E+15;4,13926E+16;2,17617E+16
﻿99400061518;Auditori;26.09.03 14:10;17.09.22 06:04;C Montalegre;7;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30336E+15;4,58171E+15;4,13839E+15;2,16681E+16
﻿92086010252;Teatre;22.04.86 00:00;17.09.22 04:12;C Alexandre Galí;20;;62;el Congrés i els Indians;9;Sant Andreu;8027;BARCELONA;4,3153E+16;4,58623E+15;4,14247E+15;2,18059E+16
﻿99400576665;Teatre Badabadoc;09.02.18 12:23;17.09.22 09:12;C Quevedo;36;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29913E+15;4,58386E+15;4,14033E+16;2,16151E+15
﻿75990349641;Cinemes Verdi Park;18.09.96 00:00;21.10.22 15:00;Carrer de Torrijos;49;;31;la Vila de Gràcia;6;Gràcia;8012;Barcelona;4,29594E+14;4,584E+16;4,14045E+16;2,15768E+15
﻿92086009592;Auditori Eduard Toldrà;25.04.86 00:00;17.09.22 04:08;C Bruc;110;;7;la Dreta de l'Eixample;2;Eixample;8009;BARCELONA;4,30451E+15;4,58304E+16;4,13959E+15;2,16804E+16
﻿92086003023;Bosque Multicines;30.05.84 00:00;22.10.21 11:14;Rambla de Prat;16;;31;la Vila de Gràcia;6;Gràcia;8012;Barcelona;4,29093E+15;4,58366E+15;4,14014E+15;2,15172E+15
﻿92086013951;Teatre;06.05.86 00:00;17.09.22 04:23;C València;680;;65;el Clot;10;Sant Martí;8027;BARCELONA;4,32364E+15;4,58494E+15;4,14131E+16;2,19071E+16
﻿92086006074;Teatre;08.06.90 00:00;17.09.22 04:01;C Immaculada;25;;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,26816E+16;4,58428E+15;4,14068E+15;2,12441E+15
﻿97315093216;Sala Gran;11.11.97 00:00;17.09.22 05:35;Pl Arts;1;;5;el Fort Pienc;2;Eixample;8013;BARCELONA;4,31965E+15;4,58345E+15;4,13997E+16;2,18611E+16
﻿99400496646;Ateneu del Raval;25.04.17 16:16;17.09.22 08:57;C Reina Amàlia;3;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30224E+16;4,58105E+16;4,1378E+16;2,16556E+15
﻿97331100216;Teatre;27.11.97 00:00;17.09.22 05:35;C Rocafort;42;;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,29424E+16;4,581E+14;4,13774E+16;2,156E+16
﻿99400550523;Teatre La Gleva;06.11.17 15:29;17.09.22 09:08;C Gleva;19;;27;el Putxet i el Farró;5;Sarrià-Sant Gervasi;8006;BARCELONA;4,2861E+15;4,58388E+15;4,14033E+15;2,14592E+16
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿99400467597;City Hall Barcelona;19.10.16 10:40;17.09.22 08:46;Rbla Catalunya;2;;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30476E+16;4,58213E+15;4,13877E+15;2,16844E+15
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
﻿98168154622;Sala Barcelona 92 - Sala Sant Jordi Club;17.06.98 00:00;28.10.21 10:30;Passeig Olímpic;5;;11;el Poble-sec;3;Sants-Montjuïc;8038;Barcelona;4,29106E+16;4,57929E+15;4,1362E+16;2,1524E+16
