register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400062552,Gabinet Salvador,92086000090,Institut Botànic de Barcelona,2003-10-10T09:24:00+02:00,2022-01-13T16:47:47.191553+01:00,,,700690,Passeig del Migdia,187,,11,el Poble-sec,03,Sants-Montjuïc,08038,Barcelona,True,,207449,20001,Telèfons,Tel.,932890611,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,429827.4326291276,4579284.624059787,41.36201209441255,2.1610174309699697
﻿99400197603,Sala d'Estudi Sagrada Família,99400187152,Biblioteca Sagrada Família - Josep M. Ainaud de Lasarte,2008-01-08T00:00:00+01:00,2022-10-26T09:24:02.301094+02:00,,,268003,Carrer de Provença,480,,06,la Sagrada Família,02,Eixample,08025,Barcelona,True,,218987,20001,Telèfons,Tel.,934 508 917,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,431191.1523788591,4584090.577437759,41.40541560676076,2.1767746457391186
﻿99400178706,Fundació Suñol,,,2007-02-28T14:12:18+01:00,2022-11-07T09:03:40.251948+01:00,,,207202,Carrer de Mejía Lequerica,14,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,Barcelona,True,,217626,20001,Telèfons,Tel.,934961032,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,426955.94706117315,4581604.59980183,41.38265181042152,2.1264102113379084
﻿99400273732,Centre Interactiu del Peix,,,2011-07-01T11:31:30+02:00,2022-01-13T13:36:08.001737+01:00,,,700127,Carrer Major de Mercabarna,74,,12,la Marina del Prat Vermell,03,Sants-Montjuïc,08040,Barcelona,True,,223993,20001,Telèfons,Tel.,933363711,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,425934.04826198297,4575855.851732746,41.33078170081359,2.11489169079116
﻿99400182038,Sala d'Estudi Francesc Candel,92086021426,Biblioteca Francesc Candel,2007-04-26T00:00:00+02:00,2022-07-08T11:35:17.127065+02:00,,,369102,Carrer de l'Amnistia Internacional,10,,13,la Marina de Port,03,Sants-Montjuïc,08038,Barcelona,True,,217930,100050,Telèfons,No tenen telèfon,-,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,427759.39574896777,4579282.385645893,41.3618090328203,2.136294923801782
﻿1138134103,Biblioteca Barceloneta -  La Fraternitat,,,2001-05-18T00:00:00+02:00,2022-12-07T13:17:38.068065+01:00,,,087406,Carrer del Comte de Santa Clara,8,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,132161,20001,Telèfons,Tel.,932253574,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,432175.07040835434,4581174.244089535,41.37923262887593,2.1888716402624535
﻿1138134103,Biblioteca Barceloneta -  La Fraternitat,,,2001-05-18T00:00:00+02:00,2022-12-07T13:17:38.068065+01:00,,,087406,Carrer del Comte de Santa Clara,8,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,132161,20001,Telèfons,Tel.,932253574,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,432175.07040835434,4581174.244089535,41.37923262887593,2.1888716402624535
﻿1138134103,Biblioteca Barceloneta -  La Fraternitat,,,2001-05-18T00:00:00+02:00,2022-12-07T13:17:38.068065+01:00,,,087406,Carrer del Comte de Santa Clara,8,,03,la Barceloneta,01,Ciutat Vella,08003,Barcelona,True,,132161,20001,Telèfons,Tel.,932253574,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,432175.07040835434,4581174.244089535,41.37923262887593,2.1888716402624535
﻿92086026197,Servei de Documentació i Accés al Coneixement  (SEDAC),,,1989-07-08T00:00:00+02:00,2021-07-19T22:03:48.071445+02:00,,,303705,Pl Sant Jaume,1,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,167597,20001,Telèfons,Tel.,934027468,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,431200.27780948713,4581550.761217672,41.38254105123275,2.177172350140966
﻿92086026197,Servei de Documentació i Accés al Coneixement  (SEDAC),,,1989-07-08T00:00:00+02:00,2021-07-19T22:03:48.071445+02:00,,,303705,Pl Sant Jaume,1,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,167597,20001,Telèfons,Tel.,934027468,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,431200.27780948713,4581550.761217672,41.38254105123275,2.177172350140966
﻿92086026197,Servei de Documentació i Accés al Coneixement  (SEDAC),,,1989-07-08T00:00:00+02:00,2021-07-19T22:03:48.071445+02:00,,,303705,Pl Sant Jaume,1,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,167597,20001,Telèfons,Tel.,934027468,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431200.27780948713,4581550.761217672,41.38254105123275,2.177172350140966
﻿99400406804,Museu Opisso,75990097514,Hotel Astoria - HB-000017,2015-11-25T09:06:46+01:00,2022-05-04T13:51:24.668381+02:00,,,245802,Carrer de París,203,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,Barcelona,True,,227758,20001,Telèfons,Tel.,932 098 311,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,429235.26464186865,4582842.004212575,41.39400038288808,2.153522866045725
﻿92086000167,Museu,92086000162,Fundació Joan Miró,1986-11-24T00:00:00+01:00,2022-11-07T09:26:23.462424+01:00,,,213307,Avinguda de Miramar,1,,11,el Poble-sec,03,Sants-Montjuïc,08038,Barcelona,True,,159017,20001,Telèfons,Tel.,934439470,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,429761.57512408664,4579982.539230728,41.36829226182124,2.1601492925476364
﻿92086000176,Biblioteca,92086000174,Museu Etnològic i de Cultures del Món *Parc Montjuïc,1986-05-15T00:00:00+02:00,2021-06-14T13:40:32.362345+02:00,,,316809,Pg Santa Madrona,22,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,159173,20001,Telèfons,Tel.,932 563 485,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,429415.5354705268,4580074.878257027,41.36909366060918,2.156001328720349
﻿92086003712,Museu Diocesà de Barcelona,,,1984-05-30T00:00:00+02:00,2022-11-08T11:18:53.949365+01:00,,,074801,Avinguda de la Catedral,4,,02,el Barri Gòtic,01,Ciutat Vella,08002,Barcelona,True,,161532,20001,Telèfons,Tel.,93 315 22 13,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,431113.5776037669,4581788.254882246,41.3846726675809,2.176108539292881
﻿98141123742,Biblioteca Judicial de Barcelona - Biblioteca Penal,,,1998-05-21T00:00:00+02:00,2022-09-17T05:40:04.636942+02:00,,,359109,Pg Lluís Companys,3,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,200997,20001,Telèfons,Tel.,935673061,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,431641.04437807034,4582270.536283094,41.38906143096381,2.182362078975129
﻿96116100309,Arxiu Municipal del Districte de Sant Martí,,,1996-04-25T00:00:00+02:00,2022-11-03T09:28:44.361866+01:00,,,044200,Avinguda del Bogatell,17,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,Barcelona,True,,191058,20001,Telèfons,Tel.,932219444,True,,55731071,Arxius municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Arxius municipals,651,0065103002000003,432928.89678780275,4582633.491999647,41.39243889757139,2.1977243604367294
﻿93314142035,Biblioteca,92086015964,Agrupació Astronòmica Barcelona,1993-11-10T00:00:00+01:00,2022-09-17T05:06:08.162079+02:00,,,361406,C Viladomat,291,,09,la Nova Esquerra de l'Eixample,02,Eixample,08029,BARCELONA,True,,175099,20001,Telèfons,Tel.,934514488,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,428562.74230718863,4582231.344029133,41.388440940321196,2.1455511334471953
﻿99400040512,CRAI - Biblioteca,99400213357,Facultat de Comunicació *Campus de la Comunicació-Poblenou - UPF,2003-05-19T12:01:00+02:00,2022-09-17T06:02:12.217881+02:00,,,181608,C Roc Boronat,138,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,08018,BARCELONA,True,,207753,20001,Telèfons,Tel.,935422352,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,432574.3789791466,4583902.194553516,41.403836103080145,2.1933428895948404
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-12-07T13:33:44.003198+01:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-12-07T13:33:44.003198+01:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿99083114355,Biblioteca Guinardó - Mercè Rodoreda,,,1999-03-24T00:00:00+01:00,2022-12-07T13:33:44.003198+01:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,202376,20003,Telèfons,Centraleta,934353170,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,430244.5663671695,4585090.986489356,41.41434434997389,2.165335563039016
﻿98261141237,CRAI - Biblioteca de Filosofia i Geografia i Història de la Universitat de Barcelona,,,1998-09-18T00:00:00+02:00,2022-07-11T12:45:36.628529+02:00,,,216906,C Montalegre,6,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,201670,20001,Telèfons,Tel.,934037563,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,430379.0357577841,4581724.135357528,41.38403193047775,2.167331566974877
﻿98261141237,CRAI - Biblioteca de Filosofia i Geografia i Història de la Universitat de Barcelona,,,1998-09-18T00:00:00+02:00,2022-07-11T12:45:36.628529+02:00,,,216906,C Montalegre,6,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,201670,20001,Telèfons,Tel.,934037563,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,430379.0357577841,4581724.135357528,41.38403193047775,2.167331566974877
﻿1242142943,Biblioteca Poble-sec - Francesc Boix,,,2001-08-30T00:00:00+02:00,2022-12-07T12:58:55.959909+01:00,,,043400,Carrer de Blai,34,,11,el Poble-sec,03,Sants-Montjuïc,08004,Barcelona,True,,131789,20001,Telèfons,Tel.,934430105,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,430093.26976782805,4580607.877194091,41.37395336575018,2.164042903949161
﻿1242142943,Biblioteca Poble-sec - Francesc Boix,,,2001-08-30T00:00:00+02:00,2022-12-07T12:58:55.959909+01:00,,,043400,Carrer de Blai,34,,11,el Poble-sec,03,Sants-Montjuïc,08004,Barcelona,True,,131789,20001,Telèfons,Tel.,934430105,True,,55731070,Biblioteques municipals,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques municipals,651,0065103002000002,430093.26976782805,4580607.877194091,41.37395336575018,2.164042903949161
﻿1242142943,Biblioteca Poble-sec - Francesc Boix,,,2001-08-30T00:00:00+02:00,2022-12-07T12:58:55.959909+01:00,,,043400,Carrer de Blai,34,,11,el Poble-sec,03,Sants-Montjuïc,08004,Barcelona,True,,131789,20001,Telèfons,Tel.,934430105,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,430093.26976782805,4580607.877194091,41.37395336575018,2.164042903949161
﻿99400084400,Sala d'Estudi Garcilaso,99111134600,Espai Jove Garcilaso,2004-04-27T14:35:00+02:00,2022-07-08T11:40:38.749663+02:00,,,140407,C Garcilaso,103,,61,la Sagrera,09,Sant Andreu,08027,BARCELONA,True,,210639,20001,Telèfons,Tel.,932 562 959,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,431999.58314063906,4585994.854036049,41.422635605444626,2.1862316852898913
﻿99400084400,Sala d'Estudi Garcilaso,99111134600,Espai Jove Garcilaso,2004-04-27T14:35:00+02:00,2022-07-08T11:40:38.749663+02:00,,,140407,C Garcilaso,103,,61,la Sagrera,09,Sant Andreu,08027,BARCELONA,True,,210639,20001,Telèfons,Tel.,932 562 959,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431999.58314063906,4585994.854036049,41.422635605444626,2.1862316852898913
﻿97287115527,Tennis Museum,92086008540,Federació Catalana de Tennis,1997-10-14T00:00:00+02:00,2021-11-25T12:46:14.918931+01:00,,,352507,Passeig de la Vall d'Hebron,196,,41,la Vall d'Hebron,07,Horta-Guinardó,08035,Barcelona,True,,198703,20003,Telèfons,Centraleta,934285353,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,428605.0329226452,4586820.900286899,41.42978096437245,2.14551542799694
﻿99400084389,Sala d'Estudi Guinardó - Mercè Rodoreda,99083114355,Biblioteca Guinardó - Mercè Rodoreda,2004-04-27T14:03:00+02:00,2022-09-14T11:54:34.522437+02:00,,,056504,Carrer de les Camèlies,76,,33,el Baix Guinardó,07,Horta-Guinardó,08024,Barcelona,True,,210644,20001,Telèfons,Tel.,934 353 170,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,430348.3283757977,4585012.130279517,41.4136431206065,2.1665860884616808
﻿99400084391,Sala d'Estudi Can Fabra,99400019598,Biblioteca Ignasi Iglésias - Can Fabra,2004-04-27T14:09:38+02:00,2022-09-14T11:55:10.571822+02:00,,,322007,Carrer del Segre,24,,60,Sant Andreu,09,Sant Andreu,08030,Barcelona,True,,210646,20001,Telèfons,Tel.,933 600 550,True,,55731073,Sales d'estudi,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Sales d'estudi,651,0065103002000005,432401.0229791101,4587309.766303438,41.43451245917919,2.190888266174861
﻿92086003428,Biblioteca,92086003422,Fundació Puigvert,1986-05-15T00:00:00+02:00,2022-09-17T03:53:49.507748+02:00,,,068900,C Cartagena,350,,35,el Guinardó,07,Horta-Guinardó,08025,BARCELONA,True,,160484,20001,Telèfons,Tel.,934169700,True,,55731068,Biblioteques,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Biblioteques,651,0065103002000000,431000.02903507673,4585068.464863859,41.41420672357582,2.174376777322996
