register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;addresses_main_address;addresses_type;values_id;values_attribute_id;values_category;values_attribute_name;values_value;values_outstanding;values_description;secondary_filters_id;secondary_filters_name;secondary_filters_fullpath;secondary_filters_tree;secondary_filters_asia_id;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿96093122231;Fira Tradicional de Productes Naturals de la Plaça Sagrada Família;02.04.96 00:00;20.04.22 12:37;142300;Av Gaudí;2;;6;la Sagrada Família;2;Eixample;8025;BARCELONA;WAHR;;;;;;;;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,31009E+14;4,58404E+15;4,14049E+16;2,1746E+14
﻿96093134024;Fira de Brocanters *Plaça de Sarrià;02.04.96 00:00;20.04.22 12:07;106103;Pl Sarrià;1;;23;Sarrià;5;Sarrià-Sant Gervasi;8017;BARCELONA;WAHR;;191229;20001;Telèfons;Tel.;933171996;WAHR;Gremi de Brocanters;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,26639E+16;4,58355E+15;4,14001E+16;2,12238E+15
﻿96058202955;Mercat Dominical de Sant Antoni;27.02.96 00:00;13.07.22 10:57;349706;C Comte d'Urgell;1;;10;Sant Antoni;2;Eixample;8011;BARCELONA;WAHR;;189742;20001;Telèfons;Tel.;934132300;WAHR;Mercat de Sant Antoni;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,29907E+16;4,58123E+15;4,13796E+15;2,16174E+15
﻿96058202955;Mercat Dominical de Sant Antoni;27.02.96 00:00;13.07.22 10:57;349706;C Comte d'Urgell;1;;10;Sant Antoni;2;Eixample;8011;BARCELONA;WAHR;;189742;20001;Telèfons;Tel.;934132300;WAHR;Mercat de Sant Antoni;58731068;Mercats municipals;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats municipals;651;6,5103E+13;4,29907E+16;4,58123E+15;4,13796E+15;2,16174E+15
﻿99400213404;Fira de Brocanters *Plaça Frederic Soler;22.09.08 00:00;17.09.22 07:03;121107;Pl Frederic Soler;1;;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;BARCELONA;WAHR;;221383;20001;Telèfons;Tel.;933171996;WAHR;Gremi de Brocanters;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,2797E+16;4,58411E+15;4,14053E+15;2,13824E+16
﻿95191112841;Fira Nova Artesania *Rambles;10.07.95 00:00;20.04.22 12:38;34308;C la Rambla;1;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;WAHR;;;;;;;;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,31121E+15;4,58089E+15;4,13766E+16;2,1763E+15
﻿96093122603;Mostra d'Art *Plaça de Sarrià;02.04.96 00:00;20.04.22 12:16;106103;Pl Sarrià;1;;23;Sarrià;5;Sarrià-Sant Gervasi;8017;BARCELONA;WAHR;;;;;;;;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,26639E+16;4,58355E+15;4,14001E+16;2,12238E+15
﻿97352145618;Fira d'Artesans Rambla Poblenou;18.12.97 00:00;20.04.22 12:05;346800;Rbla Poblenou;72;;68;el Poblenou;10;Sant Martí;8005;BARCELONA;WAHR;;199828;100050;Telèfons;No tenen telèfon;-;WAHR;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,3324E+16;4,5836E+16;4,14012E+15;2,20134E+14
﻿97352150323;Fira d'Artesans del Clot *Pl Font i Sagué;18.12.97 00:00;20.04.22 12:00;129903;Pl Font i Sagué;1;;65;el Clot;10;Sant Martí;8018;BARCELONA;WAHR;;199829;100050;Telèfons;No tenen telèfon;-;WAHR;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,32175E+15;4,58438E+15;4,14081E+15;2,18852E+15
﻿99400065640;Mostra de Pintors, Caricaturistes i Retratistes de les Rambles;11.11.03 12:43;20.04.22 12:16;34308;C la Rambla;25;;1;el Raval;1;Ciutat Vella;8002;BARCELONA;WAHR;;207470;100050;Telèfons;No tenen telèfon;-;WAHR;;58731069;Mercats i fires al carrer;Planol BCN >> Mercats i centres comercials >> Mercats i centres comercials >> Mercats i fires al carrer;651;6,5103E+13;4,31051E+15;4,5811E+15;4,13784E+15;2,17543E+16
