"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,1,"Ciutat Vella",1,"el Raval","Cap persona de 65 anys i més","13090"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Cap persona de 65 anys i més","5032"
2022,1,"Ciutat Vella",3,"la Barceloneta","Cap persona de 65 anys i més","5036"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap persona de 65 anys i més","7854"
2022,2,"Eixample",5,"el Fort Pienc","Cap persona de 65 anys i més","7894"
2022,2,"Eixample",6,"la Sagrada Família","Cap persona de 65 anys i més","13512"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Cap persona de 65 anys i més","12027"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap persona de 65 anys i més","11620"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap persona de 65 anys i més","14713"
2022,2,"Eixample",10,"Sant Antoni","Cap persona de 65 anys i més","10051"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","Cap persona de 65 anys i més","11035"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap persona de 65 anys i més","424"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","Cap persona de 65 anys i més","7289"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap persona de 65 anys i més","2528"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","Cap persona de 65 anys i més","4438"
2022,3,"Sants-Montjuïc",16,"la Bordeta","Cap persona de 65 anys i més","4782"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","Cap persona de 65 anys i més","6028"
2022,3,"Sants-Montjuïc",18,"Sants","Cap persona de 65 anys i més","10765"
2022,4,"Les Corts",19,"les Corts","Cap persona de 65 anys i més","10266"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap persona de 65 anys i més","5135"
2022,4,"Les Corts",21,"Pedralbes","Cap persona de 65 anys i més","2179"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap persona de 65 anys i més","1130"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap persona de 65 anys i més","5239"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap persona de 65 anys i més","3134"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap persona de 65 anys i més","5425"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap persona de 65 anys i més","10841"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap persona de 65 anys i més","7680"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","Cap persona de 65 anys i més","4056"
2022,6,"Gràcia",29,"el Coll","Cap persona de 65 anys i més","2048"
2022,6,"Gràcia",30,"la Salut","Cap persona de 65 anys i més","3137"
2022,6,"Gràcia",31,"la Vila de Gràcia","Cap persona de 65 anys i més","15706"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap persona de 65 anys i més","8851"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap persona de 65 anys i més","6308"
2022,7,"Horta-Guinardó",34,"Can Baró","Cap persona de 65 anys i més","2465"
2022,7,"Horta-Guinardó",35,"el Guinardó","Cap persona de 65 anys i més","9576"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap persona de 65 anys i més","2256"
2022,7,"Horta-Guinardó",37,"el Carmel","Cap persona de 65 anys i més","7938"
2022,7,"Horta-Guinardó",38,"la Teixonera","Cap persona de 65 anys i més","3104"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap persona de 65 anys i més","1678"
2022,7,"Horta-Guinardó",40,"Montbau","Cap persona de 65 anys i més","1273"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap persona de 65 anys i més","1288"
2022,7,"Horta-Guinardó",42,"la Clota","Cap persona de 65 anys i més","221"
2022,7,"Horta-Guinardó",43,"Horta","Cap persona de 65 anys i més","6133"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap persona de 65 anys i més","5989"
2022,8,"Nou Barris",45,"Porta","Cap persona de 65 anys i més","5909"
2022,8,"Nou Barris",46,"el Turó de la Peira","Cap persona de 65 anys i més","3966"
2022,8,"Nou Barris",47,"Can Peguera","Cap persona de 65 anys i més","555"
2022,8,"Nou Barris",48,"la Guineueta","Cap persona de 65 anys i més","3156"
2022,8,"Nou Barris",49,"Canyelles","Cap persona de 65 anys i més","1356"
2022,8,"Nou Barris",50,"les Roquetes","Cap persona de 65 anys i més","3991"
2022,8,"Nou Barris",51,"Verdun","Cap persona de 65 anys i més","3191"
