year;district_code;district_name;neighborhood_code;neighborhood_code2;Sex;academic_level;number
2022;1;Ciutat Vella;1;el Raval;Women;Elementary / high school / FPI bachelor's degree;4530
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Elementary / high school / FPI bachelor's degree;1503
2022;1;Ciutat Vella;3;la Barceloneta;Women;Elementary / high school / FPI bachelor's degree;1487
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Elementary / high school / FPI bachelor's degree;1658
2022;2;Eixample;5;el Fort Pienc;Women;Elementary / high school / FPI bachelor's degree;2884
2022;2;Eixample;6;la Sagrada Família;Women;Elementary / high school / FPI bachelor's degree;4718
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Elementary / high school / FPI bachelor's degree;2543
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Elementary / high school / FPI bachelor's degree;2901
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Elementary / high school / FPI bachelor's degree;4561
2022;2;Eixample;10;Sant Antoni;Women;Elementary / high school / FPI bachelor's degree;3462
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Elementary / high school / FPI bachelor's degree;3872
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Elementary / high school / FPI bachelor's degree;192
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Elementary / high school / FPI bachelor's degree;3720
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Elementary / high school / FPI bachelor's degree;1024
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Elementary / high school / FPI bachelor's degree;1557
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Elementary / high school / FPI bachelor's degree;2022
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Elementary / high school / FPI bachelor's degree;2655
2022;3;Sants-Montjuïc;18;Sants;Women;Elementary / high school / FPI bachelor's degree;4106
2022;4;Les Corts;19;les Corts;Women;Elementary / high school / FPI bachelor's degree;3549
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Elementary / high school / FPI bachelor's degree;1957
2022;4;Les Corts;21;Pedralbes;Women;Elementary / high school / FPI bachelor's degree;707
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Elementary / high school / FPI bachelor's degree;301
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Elementary / high school / FPI bachelor's degree;1428
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Elementary / high school / FPI bachelor's degree;808
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Elementary / high school / FPI bachelor's degree;1495
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Elementary / high school / FPI bachelor's degree;2575
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Elementary / high school / FPI bachelor's degree;1823
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Elementary / high school / FPI bachelor's degree;1296
2022;6;Gràcia;29;el Coll;Women;Elementary / high school / FPI bachelor's degree;759
2022;6;Gràcia;30;la Salut;Women;Elementary / high school / FPI bachelor's degree;1098
2022;6;Gràcia;31;la Vila de Gràcia;Women;Elementary / high school / FPI bachelor's degree;3443
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Elementary / high school / FPI bachelor's degree;2864
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Elementary / high school / FPI bachelor's degree;2475
2022;7;Horta-Guinardó;34;Can Baró;Women;Elementary / high school / FPI bachelor's degree;937
2022;7;Horta-Guinardó;35;el Guinardó;Women;Elementary / high school / FPI bachelor's degree;3714
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Elementary / high school / FPI bachelor's degree;907
2022;7;Horta-Guinardó;37;el Carmel;Women;Elementary / high school / FPI bachelor's degree;4331
2022;7;Horta-Guinardó;38;la Teixonera;Women;Elementary / high school / FPI bachelor's degree;1479
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Elementary / high school / FPI bachelor's degree;864
2022;7;Horta-Guinardó;40;Montbau;Women;Elementary / high school / FPI bachelor's degree;509
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Elementary / high school / FPI bachelor's degree;588
2022;7;Horta-Guinardó;42;la Clota;Women;Elementary / high school / FPI bachelor's degree;71
2022;7;Horta-Guinardó;43;Horta;Women;Elementary / high school / FPI bachelor's degree;2988
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Elementary / high school / FPI bachelor's degree;3026
2022;8;Nou Barris;45;Porta;Women;Elementary / high school / FPI bachelor's degree;3385
