year;district_code;district_name;neighborhood_code;neighborhood_name;Sex;age;number
2022;1;Ciutat Vella;1;el Raval;Women;0 anys;179
2022;1;Ciutat Vella;1;el Raval;Women;1 any;204
2022;1;Ciutat Vella;1;el Raval;Women;2 anys;200
2022;1;Ciutat Vella;1;el Raval;Women;3 anys;205
2022;1;Ciutat Vella;1;el Raval;Women;4 anys;201
2022;1;Ciutat Vella;1;el Raval;Women;5 anys;189
2022;1;Ciutat Vella;1;el Raval;Women;6 anys;183
2022;1;Ciutat Vella;1;el Raval;Women;7 anys;172
2022;1;Ciutat Vella;1;el Raval;Women;8 anys;189
2022;1;Ciutat Vella;1;el Raval;Women;9 anys;206
2022;1;Ciutat Vella;1;el Raval;Women;10 anys;211
2022;1;Ciutat Vella;1;el Raval;Women;11 anys;189
2022;1;Ciutat Vella;1;el Raval;Women;12 anys;167
2022;1;Ciutat Vella;1;el Raval;Women;13 anys;186
2022;1;Ciutat Vella;1;el Raval;Women;14 anys;182
2022;1;Ciutat Vella;1;el Raval;Women;15 anys;184
2022;1;Ciutat Vella;1;el Raval;Women;16 anys;182
2022;1;Ciutat Vella;1;el Raval;Women;17 anys;140
2022;1;Ciutat Vella;1;el Raval;Women;18 anys;204
2022;1;Ciutat Vella;1;el Raval;Women;19 anys;194
2022;1;Ciutat Vella;1;el Raval;Women;20 anys;187
2022;1;Ciutat Vella;1;el Raval;Women;21 anys;233
2022;1;Ciutat Vella;1;el Raval;Women;22 anys;291
2022;1;Ciutat Vella;1;el Raval;Women;23 anys;296
2022;1;Ciutat Vella;1;el Raval;Women;24 anys;401
2022;1;Ciutat Vella;1;el Raval;Women;25 anys;397
2022;1;Ciutat Vella;1;el Raval;Women;26 anys;452
2022;1;Ciutat Vella;1;el Raval;Women;27 anys;466
2022;1;Ciutat Vella;1;el Raval;Women;28 anys;552
2022;1;Ciutat Vella;1;el Raval;Women;29 anys;545
2022;1;Ciutat Vella;1;el Raval;Women;30 anys;517
2022;1;Ciutat Vella;1;el Raval;Women;31 anys;524
2022;1;Ciutat Vella;1;el Raval;Women;32 anys;455
2022;1;Ciutat Vella;1;el Raval;Women;33 anys;456
2022;1;Ciutat Vella;1;el Raval;Women;34 anys;452
2022;1;Ciutat Vella;1;el Raval;Women;35 anys;387
2022;1;Ciutat Vella;1;el Raval;Women;36 anys;403
2022;1;Ciutat Vella;1;el Raval;Women;37 anys;408
2022;1;Ciutat Vella;1;el Raval;Women;38 anys;380
2022;1;Ciutat Vella;1;el Raval;Women;39 anys;358
2022;1;Ciutat Vella;1;el Raval;Women;40 anys;337
2022;1;Ciutat Vella;1;el Raval;Women;41 anys;375
