"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio","Domicilis","Ocupacio_mitjana_persones_per_domicili"
2022,1,"Ciutat Vella",1,"el Raval","46520","17192","2.7"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","22748","6572","3.5"
2022,1,"Ciutat Vella",3,"la Barceloneta","14342","6938","2.1"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","22418","10240","2.2"
2022,2,"Eixample",5,"el Fort Pienc","33445","12880","2.6"
2022,2,"Eixample",6,"la Sagrada Família","51402","21947","2.3"
2022,2,"Eixample",7,"la Dreta de l'Eixample","44156","18660","2.4"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","42365","18231","2.3"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","57314","24647","2.3"
2022,2,"Eixample",10,"Sant Antoni","38175","16247","2.3"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","39143","15953","2.5"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1517","611","2.5"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","30428","11966","2.5"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","10359","4236","2.4"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","15859","6707","2.4"
2022,3,"Sants-Montjuïc",16,"la Bordeta","19227","7886","2.4"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","24208","10053","2.4"
2022,3,"Sants-Montjuïc",18,"Sants","43029","17090","2.5"
2022,4,"Les Corts",19,"les Corts","45660","18952","2.4"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","23684","9658","2.5"
2022,4,"Les Corts",21,"Pedralbes","11730","4201","2.8"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","4805","1658","2.9"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","24632","8808","2.8"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","16108","5545","2.9"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","25692","9443","2.7"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","47181","18634","2.5"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","29783","12342","2.4"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","16082","6687","2.4"
2022,6,"Gràcia",29,"el Coll","7611","3184","2.4"
2022,6,"Gràcia",30,"la Salut","13337","5462","2.4"
2022,6,"Gràcia",31,"la Vila de Gràcia","49852","22660","2.2"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","35033","14882","2.4"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","25591","10747","2.4"
2022,7,"Horta-Guinardó",34,"Can Baró","9271","3929","2.4"
2022,7,"Horta-Guinardó",35,"el Guinardó","36994","15501","2.4"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","9527","3825","2.5"
2022,7,"Horta-Guinardó",37,"el Carmel","32119","12948","2.5"
2022,7,"Horta-Guinardó",38,"la Teixonera","11918","4878","2.4"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","7262","2902","2.5"
2022,7,"Horta-Guinardó",40,"Montbau","5014","2084","2.4"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","5869","2363","2.5"
2022,7,"Horta-Guinardó",42,"la Clota","669","281","2.4"
2022,7,"Horta-Guinardó",43,"Horta","27875","10693","2.6"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","25667","10544","2.4"
2022,8,"Nou Barris",45,"Porta","27397","10190","2.7"
2022,8,"Nou Barris",46,"el Turó de la Peira","16025","6316","2.5"
2022,8,"Nou Barris",47,"Can Peguera","2187","937","2.3"
