"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,1,"Ciutat Vella",1,"el Raval","Cap persona de 18 a 64 anys","2228"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Cap persona de 18 a 64 anys","889"
2022,1,"Ciutat Vella",3,"la Barceloneta","Cap persona de 18 a 64 anys","1145"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap persona de 18 a 64 anys","1424"
2022,2,"Eixample",5,"el Fort Pienc","Cap persona de 18 a 64 anys","3019"
2022,2,"Eixample",6,"la Sagrada Família","Cap persona de 18 a 64 anys","5171"
2022,2,"Eixample",7,"la Dreta de l'Eixample","Cap persona de 18 a 64 anys","4038"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap persona de 18 a 64 anys","3996"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap persona de 18 a 64 anys","6100"
2022,2,"Eixample",10,"Sant Antoni","Cap persona de 18 a 64 anys","3849"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","Cap persona de 18 a 64 anys","2861"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap persona de 18 a 64 anys","92"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","Cap persona de 18 a 64 anys","2668"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap persona de 18 a 64 anys","1014"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","Cap persona de 18 a 64 anys","1332"
2022,3,"Sants-Montjuïc",16,"la Bordeta","Cap persona de 18 a 64 anys","1892"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","Cap persona de 18 a 64 anys","2442"
2022,3,"Sants-Montjuïc",18,"Sants","Cap persona de 18 a 64 anys","3867"
2022,4,"Les Corts",19,"les Corts","Cap persona de 18 a 64 anys","5297"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap persona de 18 a 64 anys","2715"
2022,4,"Les Corts",21,"Pedralbes","Cap persona de 18 a 64 anys","1144"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap persona de 18 a 64 anys","255"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap persona de 18 a 64 anys","2038"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap persona de 18 a 64 anys","1363"
