"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Espanya","11105"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Itàlia","874"
2022,1,"Ciutat Vella",1,"el Raval","Dones","França","460"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Regne Unit","246"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Alemanya","189"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Rússia","140"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Romania","155"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Portugal","93"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Ucraïna","82"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Polònia","101"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Països Baixos","76"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Bulgària","31"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Suècia","76"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Bèlgica","36"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Irlanda","42"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Grècia","27"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Suïssa","24"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Hongria","21"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Resta països","214"
2022,1,"Ciutat Vella",1,"el Raval","Dones","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Total","741"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Marroc, el","589"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Algèria","38"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Senegal","13"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Nigèria","30"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Resta països","71"
2022,1,"Ciutat Vella",1,"el Raval","Dones","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Total","1745"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Colòmbia","266"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Hondures","85"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Veneçuela","174"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Perú","132"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Argentina","207"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Brasil","119"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Equador","83"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Bolívia","105"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Estats Units, els","118"
2022,1,"Ciutat Vella",1,"el Raval","Dones","República Dominicana","87"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Xile","108"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Mèxic","72"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Paraguai","56"
2022,1,"Ciutat Vella",1,"el Raval","Dones","El Salvador","36"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Cuba","20"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Uruguai","16"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Nicaragua","11"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Resta països","50"
2022,1,"Ciutat Vella",1,"el Raval","Dones","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Total","5260"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Pakistan","1177"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Xina","158"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Filipines","2102"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Índia","376"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Bangladesh","1123"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Geòrgia","51"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Armènia","17"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Japó","17"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Nepal","49"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Turquia","29"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Iran","6"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Resta països","155"
2022,1,"Ciutat Vella",1,"el Raval","Dones","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Oceania","10"
2022,1,"Ciutat Vella",1,"el Raval","Dones","Apàtrides/No consta","13"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Espanya","11264"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Itàlia","1105"
2022,1,"Ciutat Vella",1,"el Raval","Homes","França","479"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Regne Unit","372"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Alemanya","216"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Rússia","81"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Romania","106"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Portugal","124"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Ucraïna","53"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Polònia","71"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Països Baixos","100"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Bulgària","39"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Suècia","59"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Bèlgica","55"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Irlanda","51"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Grècia","34"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Suïssa","26"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Hongria","11"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Resta països","205"
2022,1,"Ciutat Vella",1,"el Raval","Homes","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Total","1273"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Marroc, el","862"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Algèria","164"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Senegal","58"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Nigèria","22"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Resta països","167"
2022,1,"Ciutat Vella",1,"el Raval","Homes","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Total","1802"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Colòmbia","257"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Hondures","56"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Veneçuela","196"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Perú","140"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Argentina","210"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Brasil","126"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Equador","93"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Bolívia","91"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Estats Units, els","104"
2022,1,"Ciutat Vella",1,"el Raval","Homes","República Dominicana","113"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Xile","112"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Mèxic","84"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Paraguai","33"
2022,1,"Ciutat Vella",1,"el Raval","Homes","El Salvador","42"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Cuba","39"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Uruguai","44"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Nicaragua","13"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Resta països","49"
2022,1,"Ciutat Vella",1,"el Raval","Homes","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Total","7219"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Pakistan","2652"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Xina","142"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Filipines","1736"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Índia","696"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Bangladesh","1568"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Geòrgia","47"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Armènia","15"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Japó","12"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Nepal","77"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Turquia","41"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Iran","14"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Resta països","219"
2022,1,"Ciutat Vella",1,"el Raval","Homes","NA","--"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Oceania","8"
2022,1,"Ciutat Vella",1,"el Raval","Homes","Apàtrides/No consta","6"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Espanya","4089"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Itàlia","612"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","França","330"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Regne Unit","239"
