year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;1;Ciutat Vella;1;el Raval;Women;Alemanya;189
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Alemanya;169
2022;1;Ciutat Vella;3;la Barceloneta;Women;Alemanya;109
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Alemanya;217
2022;2;Eixample;5;el Fort Pienc;Women;Alemanya;119
2022;2;Eixample;6;la Sagrada Família;Women;Alemanya;151
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Alemanya;278
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Alemanya;169
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Alemanya;132
2022;2;Eixample;10;Sant Antoni;Women;Alemanya;149
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Alemanya;143
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Alemanya;2
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Alemanya;17
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Alemanya;24
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Alemanya;38
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Alemanya;34
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Alemanya;26
2022;3;Sants-Montjuïc;18;Sants;Women;Alemanya;61
2022;4;Les Corts;19;les Corts;Women;Alemanya;79
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Alemanya;32
2022;4;Les Corts;21;Pedralbes;Women;Alemanya;40
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Alemanya;37
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Alemanya;72
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Alemanya;40
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Alemanya;64
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Alemanya;157
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Alemanya;113
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Alemanya;57
2022;6;Gràcia;29;el Coll;Women;Alemanya;18
2022;6;Gràcia;30;la Salut;Women;Alemanya;44
2022;6;Gràcia;31;la Vila de Gràcia;Women;Alemanya;250
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Alemanya;69
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Alemanya;32
2022;7;Horta-Guinardó;34;Can Baró;Women;Alemanya;20
2022;7;Horta-Guinardó;35;el Guinardó;Women;Alemanya;56
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Alemanya;9
2022;7;Horta-Guinardó;37;el Carmel;Women;Alemanya;30
2022;7;Horta-Guinardó;38;la Teixonera;Women;Alemanya;8
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Alemanya;11
2022;7;Horta-Guinardó;40;Montbau;Women;Alemanya;5
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Alemanya;5
2022;7;Horta-Guinardó;42;la Clota;Women;Alemanya;0
2022;7;Horta-Guinardó;43;Horta;Women;Alemanya;21
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;Alemanya;22
2022;8;Nou Barris;45;Porta;Women;Alemanya;15
2022;8;Nou Barris;46;el Turó de la Peira;Women;Alemanya;6
2022;8;Nou Barris;47;Can Peguera;Women;Alemanya;0
2022;8;Nou Barris;48;la Guineueta;Women;Alemanya;7
2022;8;Nou Barris;49;Canyelles;Women;Alemanya;1
2022;8;Nou Barris;50;les Roquetes;Women;Alemanya;4
2022;8;Nou Barris;51;Verdun;Women;Alemanya;5
2022;8;Nou Barris;52;la Prosperitat;Women;Alemanya;12
2022;8;Nou Barris;53;la Trinitat Nova;Women;Alemanya;0
2022;8;Nou Barris;54;Torre Baró;Women;Alemanya;1
2022;8;Nou Barris;55;Ciutat Meridiana;Women;Alemanya;3
2022;8;Nou Barris;56;Vallbona;Women;Alemanya;2
2022;9;Sant Andreu;57;la Trinitat Vella;Women;Alemanya;4
2022;9;Sant Andreu;58;Baró de Viver;Women;Alemanya;2
2022;9;Sant Andreu;59;el Bon Pastor;Women;Alemanya;8
2022;9;Sant Andreu;60;Sant Andreu;Women;Alemanya;33
2022;9;Sant Andreu;61;la Sagrera;Women;Alemanya;32
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;Alemanya;19
2022;9;Sant Andreu;63;Navas;Women;Alemanya;16
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;Alemanya;97
2022;10;Sant Martí;65;el Clot;Women;Alemanya;47
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;Alemanya;61
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;Alemanya;58
2022;10;Sant Martí;68;el Poblenou;Women;Alemanya;185
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;Alemanya;47
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;Alemanya;19
2022;10;Sant Martí;71;Provençals del Poblenou;Women;Alemanya;44
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;Alemanya;26
2022;10;Sant Martí;73;la Verneda i la Pau;Women;Alemanya;9
2022;1;Ciutat Vella;1;el Raval;Men;Alemanya;216
2022;1;Ciutat Vella;2;el Barri Gòtic;Men;Alemanya;133
2022;1;Ciutat Vella;3;la Barceloneta;Men;Alemanya;117
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Men;Alemanya;206
2022;2;Eixample;5;el Fort Pienc;Men;Alemanya;101
2022;2;Eixample;6;la Sagrada Família;Men;Alemanya;127
