district_code,district_name,neighbourhood_code,neighbourhood_name,accidents,cluster
10,Sant Martí,73,la Verneda i la Pau,1070,0
6,Gràcia,28,Vallcarca i els Penitents,1072,0
4,Les Corts,21,Pedralbes,984,0
7,Horta-Guinardó,33,el Baix Guinardó,1030,0
10,Sant Martí,72,Sant Martí de Provençals,1000,0
3,Sants-Montjuïc,17,Sants - Badal,1013,0
3,Sants-Montjuïc,16,la Bordeta,1004,0
3,Sants-Montjuïc,15,Hostafrancs,1042,0
8,Nou Barris,44,Vilapicina i la Torre Llobeta,1028,0
8,Nou Barris,45,Porta,1078,0
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1092,0
3,Sants-Montjuïc,12,la Marina del Prat Vermell,1082,0
8,Nou Barris,48,la Guineueta,1014,0
8,Nou Barris,52,la Prosperitat,1017,0
9,Sant Andreu,59,el Bon Pastor,1058,0
10,Sant Martí,67,la Vila Olímpica del Poblenou,1047,0
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1038,0
10,Sant Martí,71,Provençals del Poblenou,1088,0
8,Nou Barris,56,Vallbona,466,1
9,Sant Andreu,58,Baró de Viver,466,1
7,Horta-Guinardó,42,la Clota,386,1
8,Nou Barris,47,Can Peguera,522,1
9,Sant Andreu,60,Sant Andreu,1309,2
10,Sant Martí,68,el Poblenou,1262,2
6,Gràcia,31,la Vila de Gràcia,1364,2
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1282,2
-1,Desconegut,-1,Desconegut,1308,2
2,Eixample,6,la Sagrada Família,1261,2
2,Eixample,8,l'Antiga Esquerra de l'Eixample,1296,2
1,Ciutat Vella,2,el Barri Gòtic,1298,2
2,Eixample,9,la Nova Esquerra de l'Eixample,1327,2
2,Eixample,10,Sant Antoni,1300,2
4,Les Corts,19,les Corts,1275,2
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1300,2
2,Eixample,5,el Fort Pienc,1271,2
3,Sants-Montjuïc,18,Sants,1305,2
1,Ciutat Vella,3,la Barceloneta,1284,2
7,Horta-Guinardó,36,la Font d'en Fargues,751,3
8,Nou Barris,54,Torre Baró,657,3
8,Nou Barris,53,la Trinitat Nova,836,3
8,Nou Barris,49,Canyelles,734,3
3,Sants-Montjuïc,14,la Font de la Guatlla,770,3
7,Horta-Guinardó,39,Sant Genís dels Agudells,819,3
7,Horta-Guinardó,38,la Teixonera,804,3
6,Gràcia,29,el Coll,730,3
7,Horta-Guinardó,34,Can Baró,804,3
7,Horta-Guinardó,40,Montbau,790,3
5,Sarrià-Sant Gervasi,23,Sarrià,1188,4
10,Sant Martí,64,el Camp de l'Arpa del Clot,1164,4
10,Sant Martí,70,el Besòs i el Maresme,1112,4
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1106,4
4,Les Corts,20,la Maternitat i Sant Ramon,1176,4
10,Sant Martí,65,el Clot,1137,4
7,Horta-Guinardó,35,el Guinardó,1124,4
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1181,4
7,Horta-Guinardó,37,el Carmel,1127,4
3,Sants-Montjuïc,13,la Marina de Port,1136,4
7,Horta-Guinardó,43,Horta,1218,4
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1149,4
9,Sant Andreu,61,la Sagrera,1138,4
9,Sant Andreu,63,Navas,953,5
9,Sant Andreu,62,el Congrés i els Indians,928,5
5,Sarrià-Sant Gervasi,24,les Tres Torres,945,5
9,Sant Andreu,57,la Trinitat Vella,968,5
8,Nou Barris,55,Ciutat Meridiana,862,5
8,Nou Barris,51,Verdun,908,5
8,Nou Barris,46,el Turó de la Peira,912,5
7,Horta-Guinardó,41,la Vall d'Hebron,856,5
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",904,5
6,Gràcia,30,la Salut,946,5
8,Nou Barris,50,les Roquetes,910,5
3,Sants-Montjuïc,11,el Poble-sec,1440,6
1,Ciutat Vella,1,el Raval,1438,6
2,Eixample,7,la Dreta de l'Eixample,1475,6
