district_code,district_name,neighbourhood_code,neighbourhood_name,rent_price,cluster
1,Ciutat Vella,1,el Raval,872.0,0
7,Horta-Guinardó,36,la Font d'en Fargues,840.1,0
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",894.9,0
7,Horta-Guinardó,41,la Vall d'Hebron,865.3,0
10,Sant Martí,65,el Clot,884.0,0
3,Sants-Montjuïc,18,Sants,885.6,0
3,Sants-Montjuïc,17,Sants - Badal,848.5,0
10,Sant Martí,72,Sant Martí de Provençals,843.0,0
3,Sants-Montjuïc,15,Hostafrancs,826.2,0
3,Sants-Montjuïc,14,la Font de la Guatlla,912.1,0
8,Nou Barris,44,Vilapicina i la Torre Llobeta,855.5,0
1,Ciutat Vella,3,la Barceloneta,900.5,0
3,Sants-Montjuïc,11,el Poble Sec,879.3,0
8,Nou Barris,49,Canyelles,851.3,0
7,Horta-Guinardó,33,el Baix Guinardó,903.9,0
10,Sant Martí,64,el Camp de l'Arpa del Clot,875.1,0
9,Sant Andreu,63,Navas,878.4,0
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1238.7,1
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1484.5,1
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1369.1,1
5,Sarrià-Sant Gervasi,23,Sarrià,1349.3,1
10,Sant Martí,67,la Vila Olímpica del Poblenou,1442.6,1
2,Eixample,7,la Dreta de l'Eixample,1328.6,1
3,Sants-Montjuïc,12,la Marina del Prat Vermell,1407.9,1
8,Nou Barris,53,la Trinitat Nova,574.9,2
8,Nou Barris,51,Verdun,609.0,2
8,Nou Barris,50,les Roquetes,632.9,2
9,Sant Andreu,57,la Trinitat Vella,620.0,2
8,Nou Barris,55,Ciutat Meridiana,577.3,2
3,Sants-Montjuïc,13,la Marina de Port,638.8,2
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1173.2,3
10,Sant Martí,68,el Poblenou,1085.6,3
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1108.6,3
6,Gràcia,31,la Vila de Gràcia,982.6,3
1,Ciutat Vella,2,el Barri Gòtic,1062.5,3
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1051.4,3
2,Eixample,5,el Fort Pienc,1106.9,3
2,Eixample,6,la Sagrada Família,985.9,3
2,Eixample,8,l'Antiga Esquerra de l'Eixample,1174.6,3
2,Eixample,9,la Nova Esquerra de l'Eixample,1012.2,3
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,977.8,3
3,Sants-Montjuïc,16,la Bordeta,1025.0,3
2,Eixample,10,Sant Antoni,1004.3,3
4,Les Corts,20,la Maternitat i Sant Ramon,993.1,3
6,Gràcia,28,Vallcarca i els Penitents,969.3,3
10,Sant Martí,71,Provençals del Poblenou,1032.9,3
6,Gràcia,30,la Salut,1010.3,3
4,Les Corts,19,les Corts,1067.8,3
4,Les Corts,21,Pedralbes,1944.5,4
5,Sarrià-Sant Gervasi,24,les Tres Torres,1767.0,4
9,Sant Andreu,62,el Congrés i els Indians,784.3,5
9,Sant Andreu,61,la Sagrera,803.5,5
10,Sant Martí,70,el Besòs i el Maresme,779.2,5
9,Sant Andreu,60,Sant Andreu,788.2,5
7,Horta-Guinardó,34,Can Baró,812.4,5
8,Nou Barris,52,la Prosperitat,693.3,5
8,Nou Barris,48,la Guineueta,748.8,5
8,Nou Barris,46,el Turó de la Peira,709.8,5
8,Nou Barris,45,Porta,728.5,5
7,Horta-Guinardó,43,Horta,794.2,5
7,Horta-Guinardó,40,Montbau,750.7,5
7,Horta-Guinardó,39,Sant Genís dels Agudells,720.3,5
7,Horta-Guinardó,38,la Teixonera,786.5,5
7,Horta-Guinardó,37,el Carmel,725.8,5
7,Horta-Guinardó,35,el Guinardó,810.0,5
6,Gràcia,29,el Coll,759.2,5
9,Sant Andreu,59,el Bon Pastor,732.6,5
10,Sant Martí,73,la Verneda i la Pau,757.0,5
