district_code,district_name,neighbourhood_code,neighbourhood_name,street_markets_and_fairs,cluster
10,Sant Martí,72,Sant Martí de Provençals,1,0
8,Nou Barris,49,Canyelles,1,0
10,Sant Martí,64,el Camp de l'Arpa del Clot,1,0
7,Horta-Guinardó,43,Horta,1,0
10,Sant Martí,70,el Besòs i el Maresme,1,0
8,Nou Barris,53,la Trinitat Nova,1,0
3,Sants-Montjuïc,12,la Marina del Prat Vermell,1,0
3,Sants-Montjuïc,18,Sants,1,0
10,Sant Martí,65,el Clot,1,0
10,Sant Martí,68,el Poblenou,1,0
1,Ciutat Vella,3,la Barceloneta,1,0
4,Les Corts,19,les Corts,3,1
5,Sarrià-Sant Gervasi,23,Sarrià,4,1
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3,1
2,Eixample,10,Sant Antoni,4,1
1,Ciutat Vella,2,el Barri Gòtic,7,2
9,Sant Andreu,60,Sant Andreu,2,3
1,Ciutat Vella,1,el Raval,2,3
8,Nou Barris,48,la Guineueta,2,3
2,Eixample,6,la Sagrada Família,2,3
2,Eixample,5,el Fort Pienc,2,3
8,Nou Barris,55,Ciutat Meridiana,2,3
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2,3
