district_code,district_name,neighbourhood_code,neighbourhood_name,tourists_points,cluster,label
7,Horta-Guinardó,34,Can Baró,6,0,0
7,Horta-Guinardó,36,la Font d'en Fargues,6,0,0
7,Horta-Guinardó,37,el Carmel,14,0,0
7,Horta-Guinardó,39,Sant Genís dels Agudells,18,0,0
7,Horta-Guinardó,40,Montbau,21,0,0
7,Horta-Guinardó,41,la Vall d'Hebron,18,0,0
7,Horta-Guinardó,42,la Clota,9,0,0
7,Horta-Guinardó,43,Horta,27,0,0
8,Nou Barris,44,Vilapicina i la Torre Llobeta,6,0,0
8,Nou Barris,45,Porta,15,0,0
8,Nou Barris,46,el Turó de la Peira,15,0,0
8,Nou Barris,47,Can Peguera,6,0,0
8,Nou Barris,48,la Guineueta,20,0,0
8,Nou Barris,51,Verdun,3,0,0
8,Nou Barris,53,la Trinitat Nova,6,0,0
7,Horta-Guinardó,35,el Guinardó,24,0,0
8,Nou Barris,54,Torre Baró,3,0,0
8,Nou Barris,56,Vallbona,3,0,0
9,Sant Andreu,57,la Trinitat Vella,12,0,0
9,Sant Andreu,58,Baró de Viver,3,0,0
9,Sant Andreu,59,el Bon Pastor,9,0,0
9,Sant Andreu,61,la Sagrera,33,0,0
9,Sant Andreu,62,el Congrés i els Indians,48,0,0
10,Sant Martí,64,el Camp de l'Arpa del Clot,3,0,0
10,Sant Martí,65,el Clot,12,0,0
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,34,0,0
10,Sant Martí,67,la Vila Olímpica del Poblenou,18,0,0
10,Sant Martí,68,el Poblenou,27,0,0
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,27,0,0
10,Sant Martí,70,el Besòs i el Maresme,19,0,0
10,Sant Martí,71,Provençals del Poblenou,15,0,0
8,Nou Barris,55,Ciutat Meridiana,7,0,0
10,Sant Martí,72,Sant Martí de Provençals,12,0,0
10,Sant Martí,73,la Verneda i la Pau,4,0,0
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,30,0,0
2,Eixample,5,el Fort Pienc,21,0,0
2,Eixample,6,la Sagrada Família,9,0,0
2,Eixample,8,l'Antiga Esquerra de l'Eixample,21,0,0
2,Eixample,9,la Nova Esquerra de l'Eixample,27,0,0
2,Eixample,10,Sant Antoni,15,0,0
3,Sants-Montjuïc,12,la Marina del Prat Vermell,9,0,0
3,Sants-Montjuïc,13,la Marina de Port,27,0,0
3,Sants-Montjuïc,14,la Font de la Guatlla,6,0,0
3,Sants-Montjuïc,15,Hostafrancs,18,0,0
7,Horta-Guinardó,33,el Baix Guinardó,12,0,0
3,Sants-Montjuïc,17,Sants - Badal,6,0,0
3,Sants-Montjuïc,18,Sants,36,0,0
3,Sants-Montjuïc,16,la Bordeta,9,0,0
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,39,0,0
5,Sarrià-Sant Gervasi,24,les Tres Torres,27,0,0
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,39,0,0
6,Gràcia,30,la Salut,48,0,0
6,Gràcia,28,Vallcarca i els Penitents,42,0,0
6,Gràcia,29,el Coll,21,0,0
6,Gràcia,31,la Vila de Gràcia,260,1,1
9,Sant Andreu,60,Sant Andreu,177,1,1
3,Sants-Montjuïc,11,el Poble-sec,153,1,1
2,Eixample,7,la Dreta de l'Eixample,166,1,1
1,Ciutat Vella,2,el Barri Gòtic,103,2,2
1,Ciutat Vella,3,la Barceloneta,66,2,2
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75,2,2
4,Les Corts,20,la Maternitat i Sant Ramon,68,2,2
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,105,2,2
5,Sarrià-Sant Gervasi,23,Sarrià,88,2,2
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",60,2,2
4,Les Corts,21,Pedralbes,90,2,2
4,Les Corts,19,les Corts,64,2,2
1,Ciutat Vella,1,el Raval,110,2,2
