district_code,district_name,neighbourhood_code,neighbourhood_name,library_studyroom_museum_spaces,cluster,label,label_cat
7.0,Horta-Guinardó,43.0,Horta,8,0,1,medium_number_library_studyroom
3.0,Sants-Montjuïc,18.0,Sants,8,0,1,medium_number_library_studyroom
10.0,Sant Martí,66.0,el Parc i la Llacuna del Poblenou,8,0,1,medium_number_library_studyroom
10.0,Sant Martí,67.0,la Vila Olímpica del Poblenou,8,0,1,medium_number_library_studyroom
5.0,Sarrià-Sant Gervasi,25.0,Sant Gervasi - la Bonanova,7,0,1,medium_number_library_studyroom
5.0,Sarrià-Sant Gervasi,26.0,Sant Gervasi - Galvany,9,0,1,medium_number_library_studyroom
9.0,Sant Andreu,60.0,Sant Andreu,8,0,1,medium_number_library_studyroom
2.0,Eixample,10.0,Sant Antoni,7,0,1,medium_number_library_studyroom
2.0,Eixample,9.0,la Nova Esquerra de l'Eixample,14,0,1,medium_number_library_studyroom
2.0,Eixample,8.0,l'Antiga Esquerra de l'Eixample,15,0,1,medium_number_library_studyroom
6.0,Gràcia,28.0,Vallcarca i els Penitents,9,0,1,medium_number_library_studyroom
6.0,Gràcia,31.0,la Vila de Gràcia,7,0,1,medium_number_library_studyroom
2.0,Eixample,5.0,el Fort Pienc,10,0,1,medium_number_library_studyroom
9.0,Sant Andreu,57.0,la Trinitat Vella,8,0,1,medium_number_library_studyroom
1.0,Ciutat Vella,3.0,la Barceloneta,11,0,1,medium_number_library_studyroom
7.0,Horta-Guinardó,40.0,Montbau,7,0,1,medium_number_library_studyroom
5.0,Sarrià-Sant Gervasi,23.0,Sarrià,8,0,1,medium_number_library_studyroom
4.0,Les Corts,21.0,Pedralbes,13,0,1,medium_number_library_studyroom
1.0,Ciutat Vella,1.0,el Raval,33,1,2,high_number_library_studyroom
4.0,Les Corts,20.0,la Maternitat i Sant Ramon,25,1,2,high_number_library_studyroom
1.0,Ciutat Vella,2.0,el Barri Gòtic,34,1,2,high_number_library_studyroom
3.0,Sants-Montjuïc,11.0,el Poble-sec,27,1,2,high_number_library_studyroom
2.0,Eixample,7.0,la Dreta de l'Eixample,35,1,2,high_number_library_studyroom
1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",34,1,2,high_number_library_studyroom
8.0,Nou Barris,48.0,la Guineueta,6,2,0,low_number_library_studyroom
8.0,Nou Barris,49.0,Canyelles,3,2,0,low_number_library_studyroom
8.0,Nou Barris,50.0,les Roquetes,4,2,0,low_number_library_studyroom
8.0,Nou Barris,54.0,Torre Baró,4,2,0,low_number_library_studyroom
9.0,Sant Andreu,62.0,el Congrés i els Indians,1,2,0,low_number_library_studyroom
9.0,Sant Andreu,59.0,el Bon Pastor,5,2,0,low_number_library_studyroom
10.0,Sant Martí,69.0,Diagonal Mar i el Front Marítim del Poblenou,2,2,0,low_number_library_studyroom
10.0,Sant Martí,68.0,el Poblenou,5,2,0,low_number_library_studyroom
9.0,Sant Andreu,61.0,la Sagrera,6,2,0,low_number_library_studyroom
10.0,Sant Martí,64.0,el Camp de l'Arpa del Clot,3,2,0,low_number_library_studyroom
8.0,Nou Barris,44.0,Vilapicina i la Torre Llobeta,5,2,0,low_number_library_studyroom
10.0,Sant Martí,70.0,el Besòs i el Maresme,6,2,0,low_number_library_studyroom
6.0,Gràcia,30.0,la Salut,2,2,0,low_number_library_studyroom
7.0,Horta-Guinardó,39.0,Sant Genís dels Agudells,1,2,0,low_number_library_studyroom
2.0,Eixample,6.0,la Sagrada Família,6,2,0,low_number_library_studyroom
3.0,Sants-Montjuïc,12.0,la Marina del Prat Vermell,2,2,0,low_number_library_studyroom
3.0,Sants-Montjuïc,13.0,la Marina de Port,4,2,0,low_number_library_studyroom
3.0,Sants-Montjuïc,14.0,la Font de la Guatlla,1,2,0,low_number_library_studyroom
3.0,Sants-Montjuïc,15.0,Hostafrancs,1,2,0,low_number_library_studyroom
4.0,Les Corts,19.0,les Corts,4,2,0,low_number_library_studyroom
7.0,Horta-Guinardó,41.0,la Vall d'Hebron,5,2,0,low_number_library_studyroom
5.0,Sarrià-Sant Gervasi,22.0,"Vallvidrera, el Tibidabo i les Planes",5,2,0,low_number_library_studyroom
5.0,Sarrià-Sant Gervasi,27.0,el Putxet i el Farró,1,2,0,low_number_library_studyroom
10.0,Sant Martí,71.0,Provençals del Poblenou,2,2,0,low_number_library_studyroom
6.0,Gràcia,32.0,el Camp d'en Grassot i Gràcia Nova,1,2,0,low_number_library_studyroom
7.0,Horta-Guinardó,33.0,el Baix Guinardó,5,2,0,low_number_library_studyroom
7.0,Horta-Guinardó,35.0,el Guinardó,5,2,0,low_number_library_studyroom
7.0,Horta-Guinardó,37.0,el Carmel,4,2,0,low_number_library_studyroom
5.0,Sarrià-Sant Gervasi,24.0,les Tres Torres,4,2,0,low_number_library_studyroom
10.0,Sant Martí,72.0,Sant Martí de Provençals,4,2,0,low_number_library_studyroom
