district_code,district_name,Elementary / high school / FPI bachelor's degree,No studies,Primary studies / school certificate,University studies,Upper secondary school 
1,Ciutat Vella,22468,1137,19227,30823,20198
2,Eixample,39571,2121,22675,110083,61407
3,Sants-Montjuïc,39043,2829,29842,47588,40627
4,Les Corts,11095,693,6571,31988,19014
5,Sarrià-Sant Gervasi,14755,509,6381,66697,34004
6,Gràcia,17984,1185,10508,48550,27574
7,Horta-Guinardó,37775,3467,25062,41236,40685
8,Nou Barris,45626,4451,35501,23785,35561
9,Sant Andreu,34045,2210,23091,32827,35090
10,Sant Martí,50764,3829,35285,62003,52517
