district_code,district_name,top_5_nationalities
1,Ciutat Vella,"Pakistan, Itàlia, Filipines, Marroc, el, Bangladesh"
2,Eixample,"Itàlia, Xina, Resta països, França, Colòmbia"
3,Sants-Montjuïc,"Colòmbia, Xina, Pakistan, Marroc, el, Itàlia"
4,Les Corts,"Veneçuela, Xina, Resta països, França, Itàlia"
5,Sarrià-Sant Gervasi,"Itàlia, Alemanya, Regne Unit, França, Resta països"
6,Gràcia,"Veneçuela, Regne Unit, Resta països, França, Itàlia"
7,Horta-Guinardó,"Colòmbia, Itàlia, Perú, Hondures, Veneçuela"
8,Nou Barris,"Marroc, el, Hondures, Pakistan, Perú, Colòmbia"
9,Sant Andreu,"Hondures, Pakistan, Itàlia, Xina, Perú"
10,Sant Martí,"Itàlia, França, Resta països, Pakistan, Xina"
