district_code,district_name,neighbourhood_code,neighbourhood_name,label_accidents,label_avg_occ,label_above_65,label_academic_level,label_between_18_65,label_bus_stops,label_children_play_areas,label_cinema_theatre_concerts,label_cultural_leisure_spaces,label_library_studyroom,label_sport_facilities,label_tourists_points,label_transportation,label_street_markets_and_fairs,label_rent_price,label_hotels,label_spaces_for_excercise,label_parks_gardens,label_exhebitons_museums,label_music_drinks,label_temporary_exhibitions
10,Sant Martí,73,la Verneda i la Pau,occasional,moderately_populated,medium_high,low,medium,medium,a lot,none,low,none,medium,few,few,none,affordable,none,none,none,none,none,none
6,Gràcia,28,Vallcarca i els Penitents,occasional,lightly_populated,medium,low,low,high,many,none,low,some,medium,many,few,none,expensive,none,few,few,none,none,none
4,Les Corts,21,Pedralbes,occasional,crowded,medium_low,low,low,high,many,none,low,many,medium,several,few,none,luxurious,few,none,some,few,few,none
7,Horta-Guinardó,33,el Baix Guinardó,occasional,lightly_populated,medium_high,low,medium,low,many,none,low,few,medium,some,few,none,medium,none,few,few,none,none,none
10,Sant Martí,72,Sant Martí de Provençals,occasional,lightly_populated,medium_high,low,medium,low,several,few,low,few,medium,some,few,few,medium,none,none,few,none,none,none
3,Sants-Montjuïc,17,Sants - Badal,occasional,lightly_populated,medium_high,low,medium,low,low,none,low,none,low,few,few,none,medium,none,none,none,none,none,none
3,Sants-Montjuïc,16,la Bordeta,occasional,lightly_populated,medium,low,medium,low,medium,some,low,none,low,few,few,none,expensive,none,none,few,none,none,none
3,Sants-Montjuïc,15,Hostafrancs,occasional,lightly_populated,medium,low,low,low,low,few,low,few,medium,some,few,none,medium,none,none,few,none,none,none
8,Nou Barris,44,Vilapicina i la Torre Llobeta,occasional,lightly_populated,medium_high,low,medium,low,medium,none,low,few,low,few,few,none,medium,none,some,few,none,none,none
8,Nou Barris,45,Porta,occasional,densely_populated,medium_high,low,medium,low,many,few,low,none,medium,some,few,none,affordable,none,none,few,none,none,none
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,occasional,lightly_populated,medium_high,high,medium,medium,few,few,low,few,medium,many,few,none,expensive,few,none,few,none,few,none
3,Sants-Montjuïc,12,la Marina del Prat Vermell,occasional,moderately_populated,low,low,low,very_high,low,none,low,few,low,few,some,few,very_expensive,none,none,few,none,none,none
8,Nou Barris,48,la Guineueta,occasional,lightly_populated,medium,low,low,low,high,none,low,few,low,some,few,few,affordable,none,none,few,none,none,none
8,Nou Barris,52,la Prosperitat,occasional,moderately_populated,medium_high,low,medium,low,medium,none,low,none,low,none,few,none,affordable,none,none,few,none,none,none
9,Sant Andreu,59,el Bon Pastor,occasional,overcrowded,medium_low,low,low,medium,many,few,low,few,low,few,few,none,affordable,none,none,few,none,none,none
10,Sant Martí,67,la Vila Olímpica del Poblenou,occasional,densely_populated,medium_low,low,low,low,medium,few,low,some,medium,some,few,none,very_expensive,few,some,few,few,few,few
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,occasional,moderately_populated,medium,low,low,medium,several,few,low,few,medium,some,few,none,very_expensive,none,few,few,none,none,none
10,Sant Martí,71,Provençals del Poblenou,occasional,moderately_populated,medium,low,medium,medium,several,none,low,few,low,some,few,none,expensive,none,none,few,none,none,few
8,Nou Barris,56,Vallbona,minimal,crowded,low,low,low,low,low,none,low,none,low,few,none,none,expensive,none,few,none,none,none,none
9,Sant Andreu,58,Baró de Viver,minimal,densely_populated,low,low,low,low,few,none,low,none,low,few,none,none,expensive,none,none,few,none,none,none
7,Horta-Guinardó,42,la Clota,minimal,lightly_populated,low,low,low,low,low,none,low,none,low,few,none,none,expensive,none,none,few,none,none,none
8,Nou Barris,47,Can Peguera,minimal,sparsely_populated,low,low,low,low,low,none,low,none,low,few,none,none,expensive,none,none,none,none,none,none
