district_code,district_name,neighbourhood_code,neighbourhood_name,accidents
-1,Desconegut,-1,Desconegut,1308
1,Ciutat Vella,1,el Raval,1438
1,Ciutat Vella,2,el Barri Gòtic,1298
1,Ciutat Vella,3,la Barceloneta,1284
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1300
2,Eixample,5,el Fort Pienc,1271
2,Eixample,6,la Sagrada Família,1261
2,Eixample,7,la Dreta de l'Eixample,1475
2,Eixample,8,l'Antiga Esquerra de l'Eixample,1296
2,Eixample,9,la Nova Esquerra de l'Eixample,1327
2,Eixample,10,Sant Antoni,1300
3,Sants-Montjuïc,11,el Poble-sec,1440
3,Sants-Montjuïc,12,la Marina del Prat Vermell,1082
3,Sants-Montjuïc,13,la Marina de Port,1136
3,Sants-Montjuïc,14,la Font de la Guatlla,770
3,Sants-Montjuïc,15,Hostafrancs,1042
3,Sants-Montjuïc,16,la Bordeta,1004
3,Sants-Montjuïc,17,Sants - Badal,1013
3,Sants-Montjuïc,18,Sants,1305
4,Les Corts,19,les Corts,1275
4,Les Corts,20,la Maternitat i Sant Ramon,1176
4,Les Corts,21,Pedralbes,984
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",904
5,Sarrià-Sant Gervasi,23,Sarrià,1188
5,Sarrià-Sant Gervasi,24,les Tres Torres,945
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1149
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1282
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1092
6,Gràcia,28,Vallcarca i els Penitents,1072
6,Gràcia,29,el Coll,730
6,Gràcia,30,la Salut,946
6,Gràcia,31,la Vila de Gràcia,1364
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1106
7,Horta-Guinardó,33,el Baix Guinardó,1030
7,Horta-Guinardó,34,Can Baró,804
7,Horta-Guinardó,35,el Guinardó,1124
7,Horta-Guinardó,36,la Font d'en Fargues,751
7,Horta-Guinardó,37,el Carmel,1127
7,Horta-Guinardó,38,la Teixonera,804
7,Horta-Guinardó,39,Sant Genís dels Agudells,819
7,Horta-Guinardó,40,Montbau,790
7,Horta-Guinardó,41,la Vall d'Hebron,856
7,Horta-Guinardó,42,la Clota,386
7,Horta-Guinardó,43,Horta,1218
8,Nou Barris,44,Vilapicina i la Torre Llobeta,1028
8,Nou Barris,45,Porta,1078
8,Nou Barris,46,el Turó de la Peira,912
8,Nou Barris,47,Can Peguera,522
8,Nou Barris,48,la Guineueta,1014
8,Nou Barris,49,Canyelles,734
8,Nou Barris,50,les Roquetes,910
8,Nou Barris,51,Verdun,908
8,Nou Barris,52,la Prosperitat,1017
8,Nou Barris,53,la Trinitat Nova,836
8,Nou Barris,54,Torre Baró,657
8,Nou Barris,55,Ciutat Meridiana,862
8,Nou Barris,56,Vallbona,466
9,Sant Andreu,57,la Trinitat Vella,968
9,Sant Andreu,58,Baró de Viver,466
9,Sant Andreu,59,el Bon Pastor,1058
9,Sant Andreu,60,Sant Andreu,1309
9,Sant Andreu,61,la Sagrera,1138
9,Sant Andreu,62,el Congrés i els Indians,928
9,Sant Andreu,63,Navas,953
10,Sant Martí,64,el Camp de l'Arpa del Clot,1164
10,Sant Martí,65,el Clot,1137
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1181
10,Sant Martí,67,la Vila Olímpica del Poblenou,1047
10,Sant Martí,68,el Poblenou,1262
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1038
10,Sant Martí,70,el Besòs i el Maresme,1112
10,Sant Martí,71,Provençals del Poblenou,1088
10,Sant Martí,72,Sant Martí de Provençals,1000
10,Sant Martí,73,la Verneda i la Pau,1070
