district_code,district_name,neighbourhood_code,neighbourhood_name,top_5_nationalities
1,Ciutat Vella,1,el Raval,"Filipines, Pakistan, Bangladesh, Marroc, el, Itàlia"
1,Ciutat Vella,2,el Barri Gòtic,"Marroc, el, Itàlia, Bangladesh, Resta països, Pakistan"
1,Ciutat Vella,3,la Barceloneta,"Marroc, el, França, Pakistan, Itàlia, Resta països"
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","Regne Unit, Itàlia, Resta països, França, Marroc, el"
2,Eixample,5,el Fort Pienc,"Resta països, Xina, Colòmbia, Itàlia, França"
2,Eixample,6,la Sagrada Família,"Veneçuela, Xina, Resta països, Itàlia, Colòmbia"
2,Eixample,7,la Dreta de l'Eixample,"França, Itàlia, Regne Unit, Xina, Resta països"
2,Eixample,8,l'Antiga Esquerra de l'Eixample,"Colòmbia, Xina, França, Resta països, Itàlia"
2,Eixample,9,la Nova Esquerra de l'Eixample,"Resta països, França, Colòmbia, Xina, Itàlia"
2,Eixample,10,Sant Antoni,"Resta països, Itàlia, Filipines, Xina, França"
3,Sants-Montjuïc,11,el Poble Sec,"Índia, Pakistan, Filipines, França, Itàlia"
3,Sants-Montjuïc,12,la Marina del Prat Vermell,"Romania, Paraguai, Itàlia, Xina, Marroc, el"
3,Sants-Montjuïc,13,la Marina de Port,"Colòmbia, Filipines, Marroc, el, Xina, Pakistan"
3,Sants-Montjuïc,14,la Font de la Guatlla,"Colòmbia, Resta països, Xina, Marroc, el, Itàlia"
3,Sants-Montjuïc,15,Hostafrancs,"França, Xina, Resta països, Pakistan, Itàlia"
3,Sants-Montjuïc,16,la Bordeta,"Xina, Colòmbia, Itàlia, Perú, Pakistan"
3,Sants-Montjuïc,17,Sants - Badal,"Colòmbia, Perú, Veneçuela, Xina, Itàlia"
3,Sants-Montjuïc,18,Sants,"Marroc, el, Resta països, Colòmbia, Itàlia, Pakistan"
4,Les Corts,19,les Corts,"França, Resta països, Itàlia, Xina, Veneçuela"
4,Les Corts,20,la Maternitat i Sant Ramon,"Resta països, Xina, Veneçuela, Colòmbia, Itàlia"
4,Les Corts,21,Pedralbes,"França, Rússia, Itàlia, Resta països, Xina"
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes","França, Regne Unit, Itàlia, Resta països, Alemanya"
5,Sarrià-Sant Gervasi,23,Sarrià,"Itàlia, França, Resta països, Estats Units, els, Regne Unit"
5,Sarrià-Sant Gervasi,24,les Tres Torres,"França, Resta països, Veneçuela, Alemanya, Itàlia"
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,"Rússia, Xina, Itàlia, França, Resta països"
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"França, Resta països, Alemanya, Itàlia, Estats Units, els"
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,"Veneçuela, Resta països, Itàlia, França, Regne Unit"
6,Gràcia,28,Vallcarca i els Penitents,"França, Resta països, Veneçuela, Colòmbia, Itàlia"
6,Gràcia,29,el Coll,"Itàlia, Veneçuela, França, Hondures, Romania"
6,Gràcia,30,la Salut,"Xina, Itàlia, Veneçuela, Resta països, França"
6,Gràcia,31,la Vila de Gràcia,"França, Alemanya, Resta països, Itàlia, Regne Unit"
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,"Colòmbia, Xina, França, Itàlia, Resta països"
7,Horta-Guinardó,33,el Baix Guinardó,"Colòmbia, Perú, Veneçuela, Xina, Itàlia"
7,Horta-Guinardó,34,Can Baró,"Colòmbia, Resta països, Veneçuela, França, Itàlia"
7,Horta-Guinardó,35,el Guinardó,"Veneçuela, França, Perú, Colòmbia, Itàlia"
7,Horta-Guinardó,36,la Font d'en Fargues,"Itàlia, França, Hondures, Veneçuela, Resta països"
7,Horta-Guinardó,37,el Carmel,"Pakistan, Hondures, Itàlia, Perú, Colòmbia"
7,Horta-Guinardó,38,la Teixonera,"Itàlia, Perú, Hondures, Veneçuela, Colòmbia"
7,Horta-Guinardó,39,Sant Genís dels Agudells,"Itàlia, Perú, Hondures, Veneçuela, Colòmbia"
7,Horta-Guinardó,40,Montbau,"Itàlia, Geòrgia, Veneçuela, Perú, Colòmbia"
7,Horta-Guinardó,41,la Vall d'Hebron,"Veneçuela, Itàlia, Hondures, Perú, Romania"
7,Horta-Guinardó,42,la Clota,"Bangladesh, Itàlia, Pakistan, Argentina, Marroc, el"
7,Horta-Guinardó,43,Horta,"Pakistan, Hondures, Colòmbia, Marroc, el, Perú"
8,Nou Barris,44,Vilapicina i la Torre Llobeta,"Hondures, Colòmbia, Itàlia, Perú, Xina"
8,Nou Barris,45,Porta,"Marroc, el, Pakistan, Hondures, Perú, Colòmbia"
8,Nou Barris,46,el Turó de la Peira,"Pakistan, Colòmbia, Hondures, República Dominicana, Bolívia"
8,Nou Barris,47,Can Peguera,"Marroc, el, República Dominicana, Veneçuela, Colòmbia, Hondures"
8,Nou Barris,48,la Guineueta,"Xina, Hondures, Perú, Colòmbia, Itàlia"
8,Nou Barris,49,Canyelles,"Veneçuela, Hondures, Perú, Resta països, Itàlia"
8,Nou Barris,50,les Roquetes,"Marroc, el, Equador, Hondures, Perú, Pakistan"
8,Nou Barris,51,Verdun,"Pakistan, Colòmbia, Xina, Perú, Hondures"
8,Nou Barris,52,la Prosperitat,"Pakistan, Perú, Hondures, Xina, Colòmbia"
8,Nou Barris,53,la Trinitat Nova,"Armènia, Marroc, el, Hondures, Pakistan, Resta països"
8,Nou Barris,54,Torre Baró,"Resta països, Hondures, Marroc, el, Bolívia, Itàlia"
8,Nou Barris,55,Ciutat Meridiana,"República Dominicana, Resta països, Pakistan, Hondures, Marroc, el"
8,Nou Barris,56,Vallbona,"Paraguai, Hondures, Rússia, Pakistan, Marroc, el"
9,Sant Andreu,57,la Trinitat Vella,"Pakistan, Hondures, Perú, Romania, Marroc, el"
9,Sant Andreu,58,Baró de Viver,"Hondures, Marroc, el, Xina, Pakistan, Colòmbia"
9,Sant Andreu,59,el Bon Pastor,"Colòmbia, Hondures, Pakistan, Perú, Marroc, el"
9,Sant Andreu,60,Sant Andreu,"Resta països, Hondures, Colòmbia, Xina, Itàlia"
9,Sant Andreu,61,la Sagrera,"Hondures, Perú, Colòmbia, Itàlia, Xina"
9,Sant Andreu,62,el Congrés i els Indians,"Colòmbia, Perú, Xina, Hondures, Itàlia"
9,Sant Andreu,63,Navas,"Itàlia, Colòmbia, Veneçuela, Xina, Perú"
10,Sant Martí,64,el Camp de l'Arpa del Clot,"Perú, França, Itàlia, Colòmbia, Xina"
10,Sant Martí,65,el Clot,"Xina, Perú, Marroc, el, Itàlia, Resta països"
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"França, Xina, Regne Unit, Resta països, Itàlia"
10,Sant Martí,67,la Vila Olímpica del Poblenou,"Itàlia, França, Rússia, Alemanya, Resta països"
10,Sant Martí,68,el Poblenou,"Itàlia, França, Resta països, Xina, Regne Unit"
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,"Rússia, Xina, Resta països, Itàlia, França"
10,Sant Martí,70,el Besòs i el Maresme,"Pakistan, Marroc, el, Hondures, Xina, Senegal"
10,Sant Martí,71,Provençals del Poblenou,"Veneçuela, Itàlia, Marroc, el, Xina, Pakistan"
10,Sant Martí,72,Sant Martí de Provençals,"Perú, Xina, Veneçuela, Itàlia, Colòmbia"
10,Sant Martí,73,la Verneda i la Pau,"Resta països, Xina, Colòmbia, Itàlia, Perú"
