district_code,district_name,neighbourhood_code,neighbourhood_name,top_5_nationalities,mapped_nationalities
1,Ciutat Vella,1,el Raval,"Filipines, Pakistan, Bangladesh, Marroc, el, Itàlia","[29, 13, 2, 12, 24, 11]"
1,Ciutat Vella,2,el Barri Gòtic,"Marroc, el, Itàlia, Bangladesh, Resta països, Pakistan","[33, 24, 11, 2, 18, 13]"
1,Ciutat Vella,3,la Barceloneta,"Marroc, el, França, Pakistan, Itàlia, Resta països","[33, 24, 8, 13, 11, 18]"
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","Regne Unit, Itàlia, Resta països, França, Marroc, el","[37, 11, 18, 8, 12, 24]"
2,Eixample,5,el Fort Pienc,"Resta països, Xina, Colòmbia, Itàlia, França","[39, 23, 4, 11, 8]"
2,Eixample,6,la Sagrada Família,"Veneçuela, Xina, Resta països, Itàlia, Colòmbia","[42, 23, 18, 11, 4]"
2,Eixample,7,la Dreta de l'Eixample,"França, Itàlia, Regne Unit, Xina, Resta països","[30, 11, 16, 23, 18]"
2,Eixample,8,l'Antiga Esquerra de l'Eixample,"Colòmbia, Xina, França, Resta països, Itàlia","[28, 23, 8, 18, 11]"
2,Eixample,9,la Nova Esquerra de l'Eixample,"Resta països, França, Colòmbia, Xina, Itàlia","[39, 8, 4, 23, 11]"
2,Eixample,10,Sant Antoni,"Resta països, Itàlia, Filipines, Xina, França","[39, 11, 7, 23, 8]"
3,Sants-Montjuïc,11,el Poble Sec,"Índia, Pakistan, Filipines, França, Itàlia","[44, 13, 7, 8, 11]"
3,Sants-Montjuïc,12,la Marina del Prat Vermell,"Romania, Paraguai, Itàlia, Xina, Marroc, el","[40, 14, 11, 23, 12, 24]"
3,Sants-Montjuïc,13,la Marina de Port,"Colòmbia, Filipines, Marroc, el, Xina, Pakistan","[28, 7, 12, 24, 23, 13]"
3,Sants-Montjuïc,14,la Font de la Guatlla,"Colòmbia, Resta països, Xina, Marroc, el, Itàlia","[28, 18, 23, 12, 24, 11]"
3,Sants-Montjuïc,15,Hostafrancs,"França, Xina, Resta països, Pakistan, Itàlia","[30, 23, 18, 13, 11]"
3,Sants-Montjuïc,16,la Bordeta,"Xina, Colòmbia, Itàlia, Perú, Pakistan","[43, 4, 11, 15, 13]"
3,Sants-Montjuïc,17,Sants - Badal,"Colòmbia, Perú, Veneçuela, Xina, Itàlia","[28, 15, 22, 23, 11]"
3,Sants-Montjuïc,18,Sants,"Marroc, el, Resta països, Colòmbia, Itàlia, Pakistan","[33, 24, 18, 4, 11, 13]"
4,Les Corts,19,les Corts,"França, Resta països, Itàlia, Xina, Veneçuela","[30, 18, 11, 23, 22]"
4,Les Corts,20,la Maternitat i Sant Ramon,"Resta països, Xina, Veneçuela, Colòmbia, Itàlia","[39, 23, 22, 4, 11]"
4,Les Corts,21,Pedralbes,"França, Rússia, Itàlia, Resta països, Xina","[30, 20, 11, 18, 23]"
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes","França, Regne Unit, Itàlia, Resta països, Alemanya","[30, 16, 11, 18, 0]"
5,Sarrià-Sant Gervasi,23,Sarrià,"Itàlia, França, Resta països, Estats Units, els, Regne Unit","[32, 8, 18, 6, 25, 16]"
5,Sarrià-Sant Gervasi,24,les Tres Torres,"França, Resta països, Veneçuela, Alemanya, Itàlia","[30, 18, 22, 0, 11]"
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,"Rússia, Xina, Itàlia, França, Resta països","[41, 23, 11, 8, 18]"
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"França, Resta països, Alemanya, Itàlia, Estats Units, els","[30, 18, 0, 11, 6, 25]"
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,"Veneçuela, Resta països, Itàlia, França, Regne Unit","[42, 18, 11, 8, 16]"
6,Gràcia,28,Vallcarca i els Penitents,"França, Resta països, Veneçuela, Colòmbia, Itàlia","[30, 18, 22, 4, 11]"
6,Gràcia,29,el Coll,"Itàlia, Veneçuela, França, Hondures, Romania","[32, 22, 8, 10, 19]"
6,Gràcia,30,la Salut,"Xina, Itàlia, Veneçuela, Resta països, França","[43, 11, 22, 18, 8]"
6,Gràcia,31,la Vila de Gràcia,"França, Alemanya, Resta països, Itàlia, Regne Unit","[30, 0, 18, 11, 16]"
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,"Colòmbia, Xina, França, Itàlia, Resta països","[28, 23, 8, 11, 18]"
7,Horta-Guinardó,33,el Baix Guinardó,"Colòmbia, Perú, Veneçuela, Xina, Itàlia","[28, 15, 22, 23, 11]"
7,Horta-Guinardó,34,Can Baró,"Colòmbia, Resta països, Veneçuela, França, Itàlia","[28, 18, 22, 8, 11]"
7,Horta-Guinardó,35,el Guinardó,"Veneçuela, França, Perú, Colòmbia, Itàlia","[42, 8, 15, 4, 11]"
7,Horta-Guinardó,36,la Font d'en Fargues,"Itàlia, França, Hondures, Veneçuela, Resta països","[32, 8, 10, 22, 18]"
7,Horta-Guinardó,37,el Carmel,"Pakistan, Hondures, Itàlia, Perú, Colòmbia","[34, 10, 11, 15, 4]"
7,Horta-Guinardó,38,la Teixonera,"Itàlia, Perú, Hondures, Veneçuela, Colòmbia","[32, 15, 10, 22, 4]"
7,Horta-Guinardó,39,Sant Genís dels Agudells,"Itàlia, Perú, Hondures, Veneçuela, Colòmbia","[32, 15, 10, 22, 4]"
7,Horta-Guinardó,40,Montbau,"Itàlia, Geòrgia, Veneçuela, Perú, Colòmbia","[32, 9, 22, 15, 4]"
7,Horta-Guinardó,41,la Vall d'Hebron,"Veneçuela, Itàlia, Hondures, Perú, Romania","[42, 11, 10, 15, 19]"
