neighbourhood_name,district_name,price
Baro de Viver,Sant Andreu,532.1
Can Baro,Horta-Guinardo,756.5
Canyelles,Nou Barris,742.375
Ciutat Meridiana,Nou Barris,525.7
Diagonal Mar i el Front Maritim del Poblenou,Sant Marti,1073.725
Fort Pienc,Eixample,943.05
Gothic Quarter,Ciutat Vella,946.275
Horta,Horta-Guinardo,749.4
Hostafrancs,Sants-Montjuic,791.325
Montbau,Horta-Guinardo,740.35
Navas,Sant Andreu,820.525
Pedralbes,Les Corts,1693.575
Porta,Nou Barris,714.725
Provencals del Poblenou,Sant Marti,950.5
Sant Andreu,Sant Andreu,766.65
Sant Antoni,Eixample,929.375
Sant Genis dels Agudells,Horta-Guinardo,703.825
Sant Gervasi - Galvany,Sarria-Sant Gervasi,1355.05
Sant Gervasi - la Bonanova,Sarria-Sant Gervasi,1217.5249999999999
Sant Martíide Provencals,Sant Marti,806.1750000000001
"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,888.35
Sants,Sants-Montjuic,828.725
Sants - Badal,Sants-Montjuic,793.025
Sarria,Sarria-Sant Gervasi,1300.0
Vallcarca i els Penitents,Gracia,941.15
"Vallvidrera, el Tibidabo i les Planes",Sarria-Sant Gervasi,1207.6
Verdun,Nou Barris,648.7
Vilapicina i la Torre Llobeta,Nou Barris,760.525
el Baix Guinardo,Horta-Guinardo,823.7
el Besos i el Maresme,Sant Marti,710.4
el Bon Pastor,Sant Andreu,685.425
el Camp d'en Grassot i Gracia Nova,Gracia,892.9
el Camp de l'Arpa del Clot,Sant Marti,820.75
el Carmel,Horta-Guinardo,674.875
el Clot,Sant Marti,824.0
el Coll,Gracia,763.05
el Congres i els Indians,Sant Andreu,774.825
el Guinardo,Horta-Guinardo,809.0250000000001
el Parc i la Llacuna del Poblenou,Sant Marti,975.925
el Poble Sec,Sants-Montjuic,780.05
el Poblenou,Sant Marti,945.725
el Putxet i el Farro,Sarria-Sant Gervasi,1004.375
el Raval,Ciutat Vella,769.175
el Turo de la Peira,Nou Barris,683.175
l'Antiga Esquerra de l'Eixample,Eixample,1074.525
la Barceloneta,Ciutat Vella,831.9
la Bordeta,Sants-Montjuic,832.0
la Dreta de l'Eixample,Eixample,1190.55
la Font d'en Fargues,Horta-Guinardo,816.325
la Font de la Guatlla,Sants-Montjuic,824.05
la Guineueta,Nou Barris,676.825
la Marina de Port,Sants-Montjuic,743.35
la Maternitat i Sant Ramon,Les Corts,933.9
la Nova Esquerra de l'Eixample,Eixample,962.95
la Prosperitat,Nou Barris,676.525
la Sagrada Familia,Eixample,902.825
la Sagrera,Sant Andreu,767.025
la Salut,Gracia,888.2
la Teixonera,Horta-Guinardo,713.975
la Trinitat Nova,Nou Barris,592.75
la Trinitat Vella,Sant Andreu,607.275
la Vall d'Hebron,Horta-Guinardo,862.1
la Verneda i la Pau,Sant Marti,743.475
la Vila Olimpica del Poblenou,Sant Marti,1313.825
la Vila de Gracia,Gracia,901.025
les Corts,Les Corts,1014.7249999999999
les Roquetes,Nou Barris,621.625
les Tres Torres,Sarria-Sant Gervasi,1542.725
