district_code,district_name,neighbourhood_code,neighbourhood_name,temporaray_exhibitions
1,Ciutat Vella,1,el Raval,58
1,Ciutat Vella,2,el Barri Gòtic,6
1,Ciutat Vella,3,la Barceloneta,2
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16
2,Eixample,5,el Fort Pienc,4
2,Eixample,7,la Dreta de l'Eixample,21
2,Eixample,9,la Nova Esquerra de l'Eixample,4
3,Sants-Montjuïc,11,el Poble Sec,28
3,Sants-Montjuïc,14,la Font de la Guatlla,7
4,Les Corts,20,la Maternitat i Sant Ramon,4
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2
6,Gràcia,31,la Vila de Gràcia,4
9,Sant Andreu,60,Sant Andreu,8
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,10
10,Sant Martí,67,la Vila Olímpica del Poblenou,6
10,Sant Martí,70,el Besòs i el Maresme,2
10,Sant Martí,71,Provençals del Poblenou,1
