district_code,district_name,neighbourhood_code,neighbourhood_name,tourists_points
1,Ciutat Vella,1,el Raval,110
1,Ciutat Vella,2,el Barri Gòtic,103
1,Ciutat Vella,3,la Barceloneta,66
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75
2,Eixample,5,el Fort Pienc,21
2,Eixample,6,la Sagrada Família,9
2,Eixample,7,la Dreta de l'Eixample,166
2,Eixample,8,l'Antiga Esquerra de l'Eixample,21
2,Eixample,9,la Nova Esquerra de l'Eixample,27
2,Eixample,10,Sant Antoni,15
3,Sants-Montjuïc,11,el Poble-sec,153
3,Sants-Montjuïc,12,la Marina del Prat Vermell,9
3,Sants-Montjuïc,13,la Marina de Port,27
3,Sants-Montjuïc,14,la Font de la Guatlla,6
3,Sants-Montjuïc,15,Hostafrancs,18
3,Sants-Montjuïc,16,la Bordeta,9
3,Sants-Montjuïc,17,Sants - Badal,6
3,Sants-Montjuïc,18,Sants,36
4,Les Corts,19,les Corts,64
4,Les Corts,20,la Maternitat i Sant Ramon,68
4,Les Corts,21,Pedralbes,90
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",60
5,Sarrià-Sant Gervasi,23,Sarrià,88
5,Sarrià-Sant Gervasi,24,les Tres Torres,27
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,105
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,39
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,39
6,Gràcia,28,Vallcarca i els Penitents,42
6,Gràcia,29,el Coll,21
6,Gràcia,30,la Salut,48
6,Gràcia,31,la Vila de Gràcia,260
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,30
7,Horta-Guinardó,33,el Baix Guinardó,12
7,Horta-Guinardó,34,Can Baró,6
7,Horta-Guinardó,35,el Guinardó,24
7,Horta-Guinardó,36,la Font d'en Fargues,6
7,Horta-Guinardó,37,el Carmel,14
7,Horta-Guinardó,39,Sant Genís dels Agudells,18
7,Horta-Guinardó,40,Montbau,21
7,Horta-Guinardó,41,la Vall d'Hebron,18
7,Horta-Guinardó,42,la Clota,9
7,Horta-Guinardó,43,Horta,27
8,Nou Barris,44,Vilapicina i la Torre Llobeta,6
8,Nou Barris,45,Porta,15
8,Nou Barris,46,el Turó de la Peira,15
8,Nou Barris,47,Can Peguera,6
8,Nou Barris,48,la Guineueta,20
8,Nou Barris,51,Verdun,3
8,Nou Barris,53,la Trinitat Nova,6
8,Nou Barris,54,Torre Baró,3
8,Nou Barris,55,Ciutat Meridiana,7
8,Nou Barris,56,Vallbona,3
9,Sant Andreu,57,la Trinitat Vella,12
9,Sant Andreu,58,Baró de Viver,3
9,Sant Andreu,59,el Bon Pastor,9
9,Sant Andreu,60,Sant Andreu,177
9,Sant Andreu,61,la Sagrera,33
9,Sant Andreu,62,el Congrés i els Indians,48
10,Sant Martí,64,el Camp de l'Arpa del Clot,3
10,Sant Martí,65,el Clot,12
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,34
10,Sant Martí,67,la Vila Olímpica del Poblenou,18
10,Sant Martí,68,el Poblenou,27
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,27
10,Sant Martí,70,el Besòs i el Maresme,19
10,Sant Martí,71,Provençals del Poblenou,15
10,Sant Martí,72,Sant Martí de Provençals,12
10,Sant Martí,73,la Verneda i la Pau,4
