incident_code;description_incident;district_code;district_name;neighbourhood_code;neighbourhood_name;year;number_incidents
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;68;el Poblenou;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;7;la Dreta de l'Eixample;2021;8
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;49;Canyelles;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;34;Can Baró;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;61;la Sagrera;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;15;Hostafrancs;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;1;el Raval;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;53;la Trinitat Nova;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;45;Porta;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;48;la Guineueta;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;56;Vallbona;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;30;la Salut;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;36;la Font d'en Fargues;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;68;el Poblenou;2021;9
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;34;Can Baró;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;63;Navas;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;4;Les Corts;19;les Corts;2021;6
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;2;el Barri Gòtic;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;4;Les Corts;21;Pedralbes;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;62;el Congrés i els Indians;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;31;la Vila de Gràcia;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;67;la Vila Olímpica del Poblenou;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;39;Sant Genís dels Agudells;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;34;Can Baró;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;29;el Coll;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;31;la Vila de Gràcia;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;2021;5
810;DISPOSAL OF WASTE                                                                                                                                                                           ;5;Sarrià-Sant Gervasi;24;les Tres Torres;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;3;la Barceloneta;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;47;Can Peguera;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;4;Les Corts;20;la Maternitat i Sant Ramon;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;67;la Vila Olímpica del Poblenou;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;33;el Baix Guinardó;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;37;el Carmel;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;2;el Barri Gòtic;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;11;el Poble-sec;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;-1;Desconegut;-1;Desconegut;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;11;el Poble-sec;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;52;la Prosperitat;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;13;la Marina de Port;2021;5
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;1;el Raval;2021;7
810;DISPOSAL OF WASTE                                                                                                                                                                           ;6;Gràcia;31;la Vila de Gràcia;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;34;Can Baró;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;70;el Besòs i el Maresme;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;35;el Guinardó;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;37;el Carmel;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;-1;Desconegut;-1;Desconegut;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;59;el Bon Pastor;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;2;el Barri Gòtic;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;1;Ciutat Vella;2;el Barri Gòtic;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;33;el Baix Guinardó;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;10;Sant Antoni;2021;9
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;43;Horta;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;35;el Guinardó;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;39;Sant Genís dels Agudells;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;71;Provençals del Poblenou;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;56;Vallbona;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;49;Canyelles;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;50;les Roquetes;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;33;el Baix Guinardó;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;60;Sant Andreu;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;10;Sant Martí;68;el Poblenou;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;46;el Turó de la Peira;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;40;Montbau;2021;6
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;11;el Poble-sec;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;60;Sant Andreu;2021;2
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;11;el Poble-sec;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;37;el Carmel;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;37;el Carmel;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;51;Verdun;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;9;Sant Andreu;59;el Bon Pastor;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;7;la Dreta de l'Eixample;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;7;Horta-Guinardó;43;Horta;2021;4
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;11;el Poble-sec;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;8;Nou Barris;45;Porta;2021;1
810;DISPOSAL OF WASTE                                                                                                                                                                           ;2;Eixample;10;Sant Antoni;2021;3
810;DISPOSAL OF WASTE                                                                                                                                                                           ;3;Sants-Montjuïc;15;Hostafrancs;2021;1
