play_area_id;address;district_name;district_code;neighbourhood_name;neighbourhood_code;X_ETRS89;Y_ETRS89;longitude;latitude
48422;Ptge Pintor Tapiró, 7;Les Corts;4;la Maternitat i Sant Ramon;20;426318245;4581112102;21188442;413781579
49782;Jard Can Senillosa, 0;Sarria-Sant Gervasi;5;Sarrià;23;426758862;4582958822;21238896;413948308
54275;C\ Gòlgota, 84003;Gracia;6;Vallcarca i els Penitents;28;428175850;4585721672;21405099;414198424
61431;C\ Fastenrath, 89;Horta-Guinardó;7;la Teixonera;38;428688004;4586015992;21466033;414225389
85638;Via Júlia, 154;Nou Barris;8;Verdun;51;431417930;4588454456;21789926;414447389
26337;Pg Fabra i Puig, 9411;Nou Barris;8;la Guineueta;48;430345754;4587775455;21662369;414385311
836481;Pl Hilari Salvadó, 1;Ciutat Vella;1;la Barceloneta;3;432402538;4581174786;21915916;413792566
42784;C\ València, 685;Sant Martí;10;el Clot;65;432425632;4585051443;21914352;414141745
662687;G.V. Corts Catalanes, 923;Sant Martí;10;el Clot;65;432714497;4584566720;21949452;414098330
44049;G.V. Corts Catalanes, 923;Sant Martí;10;el Clot;65;432593825;4584457160;21935137;414088361
57405;Pl Zurbarán, 4;Horta-Guinardó;7;Montbau;40;428356496;4586852652;21425374;414300448
54799;Jard Mestre Balcells, 0;Gracia;6;la Vila de Gràcia;31;429303913;4584380850;21541642;414078662
54482;C\ Mare de Déu dels Àngels, 32;Gracia;6;el Coll;29;428752726;4585866222;21473954;414211957
54359;Pl John Lennon, 0;Gracia;6;la Vila de Gràcia;31;429905274;4583807306;21614248;414027532
54286;C\ Alzina, 6;Gracia;6;la Vila de Gràcia;31;429541194;4584201862;21570237;414062750
54265;C\ Jaume Cascalls, 20;Gracia;6;el Coll;29;429008815;4585514922;21505009;414180543
573605;C\ Perea, 2;Horta-Guinardó;7;Sant Genís dels Agudells;39;428268516;4586207412;21415611;414242256
86623;C\ Garigliano, 25;Nou Barris;8;les Roquetes;50;430982842;4588616713;21737660;414461630
931703;Pg Bosc de Roquetes, 25;Nou Barris;8;les Roquetes;50;431433524;4588843347;21791351;414482428
584431;Pg Bosc de Roquetes, 25;Nou Barris;8;les Roquetes;50;431214235;4588833305;21765112;414481336
587433;Jard Elena Maseras, 0;Eixample;2;l'Antiga Esquerra de l'Eixample;8;429183388;4582463739;21529466;413905889
49474;Via Augusta, 304;Sarria-Sant Gervasi;5;les Tres Torres;24;427078115;4583302563;21276667;413979557
51402;C\ Can Caralleu, 6;Sarria-Sant Gervasi;5;Sarrià;23;425969179;4583784475;21143436;414021948
49389;Jard Els Setze Jutges, 0;Sarria-Sant Gervasi;5;Sarrià;23;426697836;4583647829;21230763;414010308
48649;Av Esplugues, 2;Les Corts;4;Pedralbes;21;425150361;4581731414;21048027;413836280
48650;Av Esplugues, 2;Les Corts;4;Pedralbes;21;425119075;4581787924;21044215;413841341
48648;Av Esplugues, 2;Les Corts;4;Pedralbes;21;425089157;4581684478;21040766;413831996
692151;Av Vallvidrera, 76;Sarria-Sant Gervasi;5;Sarrià;23;425635224;4584545052;21102554;414090141
48468;Pl Comas, 9999;Les Corts;4;les Corts;19;427248785;4581903620;21298762;413853715
48444;C\ Fígols, 5;Les Corts;4;les Corts;19;427227061;4581512728;21296634;413818489
48458;C\ Nicaragua, 101;Les Corts;4;les Corts;19;427961712;4581906883;21384017;413854650
48333;C\ Gelabert, 8;Les Corts;4;les Corts;19;428270297;4582160235;21420620;413877745
48298;C\ Ventura Rodríguez, 3632;Horta-Guinardó;7;la Vall d'Hebron;41;428974596;4587086538;21499068;414322062
48297;C\ Ventura Rodríguez, 3632;Horta-Guinardó;7;la Vall d'Hebron;41;428976022;4587097713;21499226;414323070
763115;C\ Rubió i Balaguer, 69;Horta-Guinardó;7;la Vall d'Hebron;41;428777434;4587099911;21475457;414323092
48313;C\ Rubió i Balaguer, 69;Horta-Guinardó;7;la Vall d'Hebron;41;428889882;4587063419;21488957;414319905
48254;Pl Clota, 5;Horta-Guinardó;7;la Clota;42;429049619;4586442335;21508803;414264108
47604;Jard Arboreda, 0;Sants-Montjuïc;3;la Marina de Port;13;427854431;4578907525;21374756;413584413
47472;C\ Arnes, 37;Sants-Montjuïc;3;la Marina del Prat Vermell;12;428144902;4578177696;21410343;413518940
47485;Pg Exposició, 611;Sants-Montjuïc;3;el Poble-sec;11;429933712;4580098059;21621940;413693477
46913;Jard Cal Sèbio, 0;Sants-Montjuïc;3;la Marina de Port;13;428309906;4578832662;21429292;413578077
46914;Jard Cal Sèbio, 0;Sants-Montjuïc;3;la Marina de Port;13;428317105;4578807825;21430182;413575847
46200;Pl Tetuan, 9999;Eixample;2;la Dreta de l'Eixample;7;431045959;4582925797;21751704;413949124
46163;Pl Gaudí, 70210;Eixample;2;la Sagrada Família;6;431121846;4583992453;21759567;414045259
45920;Jard Can Bruixa, 0;Les Corts;4;les Corts;19;427313970;4581714181;21306785;413836712
45869;C\ Breda, 10;Les Corts;4;les Corts;19;428239157;4581945478;21417151;413858374
45868;C\ Breda, 10;Les Corts;4;les Corts;19;428265957;4581942723;21420359;413858150
45808;Pl Centre, 9998;Les Corts;4;les Corts;19;427724960;4581523311;21356161;413819891
45494;C\ Mare de Déu dels Reis, 12;Gracia;6;Vallcarca i els Penitents;28;428617246;4584970192;21458800;414131135
45467;C\ Juan de Mena, 15;Horta-Guinardó;7;la Vall d'Hebron;41;428704407;4586955915;21466887;414310058
45466;C\ Juan de Mena, 15;Horta-Guinardó;7;la Vall d'Hebron;41;428692031;4586915412;21465454;414306399
45408;Pl Josep Pallach, 9999;Horta-Guinardó;7;la Vall d'Hebron;41;428997233;4587223864;21501616;414334451
45407;Pl Josep Pallach, 9999;Horta-Guinardó;7;la Vall d'Hebron;41;429053191;4587250800;21508281;414336926
672646;Pl Joaquim Folguera, 9999;Sarria-Sant Gervasi;5;Sant Gervasi - la Bonanova;25;428035745;4584135211;21390222;414055413
673602;Jard Ca l'Alena, 0;Sants-Montjuïc;3;la Marina de Port;13;428356956;4579013325;21434703;413594391
86301;C\ Port de la Selva, 0;Nou Barris;8;les Roquetes;50;431499476;4588709949;21799397;414470470
672606;Pl Havaneres, 0;Sant Andreu;9;el Congrés i els Indians;62;431714022;4585853783;21828306;414213408
44856;C\ Felip II, 9999;Sant Andreu;9;el Congrés i els Indians;62;431785955;4586046325;21836696;414230811
44829;Pl Palmeres, 26;Sant Andreu;9;Sant Andreu;60;432007856;4587123611;21862037;414328026
44616;C\ Sant Adrià, 196;Sant Andreu;9;el Bon Pastor;59;433862551;4587485182;22083609;414362141
44477;Pl Doctor Modrego, 5;Sant Andreu;9;el Congrés i els Indians;62;431485020;4586283293;21800418;414251898
661499;Pl Josep Andreu i Abelló, 8;Sant Andreu;9;la Trinitat Vella;57;432351850;4588850388;21901273;414483841
44515;Pl Josep Andreu i Abelló, 8;Sant Andreu;9;la Trinitat Vella;57;432354430;4588838886;21901594;414482808
668269;Pl Maragall, 9999;Horta-Guinardó;7;el Guinardó;35;431509932;4585717966;21804039;414201002
44314;Parc La Maquinista de St Andreu, 0;Sant Andreu;9;el Bon Pastor;59;432804441;4587607219;21956834;414372254
43791;Jard Remedios Varó, 0;Sant Martí;10;Diagonal Mar i el Front Marítim del Poblenou;69;433935032;4583862834;22096241;414035946
43307;C\ Messina, 20;Sant Martí;10;el Besòs i el Maresme;70;434389921;4585533437;22148845;414186785
