year;equipment;Seu;title_exhibition;visits;start_date;end_date;type_production;district_code;district_name;neighbourhood_code;neighbourhood_name;ownership;entity;general_type;equipment_type;scope;latitude;longitude;web
2021;Arxiu Fotogràfic de Barcelona;Arxiu Fotogràfic de Barcelona;Un viatge fotogràfic. La construcció del Poble Espanyol;3080;10.11.20;25.04.21;Pròpia;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Municipal;Institut de Cultura. Ajuntament de Barcelona;Arxius;Centres d'exposicions;Història i memòria;41386872640;2181806284;http://barcelona.cat/arxiufotografic
2021;Arxiu Fotogràfic de Barcelona;Arxiu Fotogràfic de Barcelona;Margaret Michaelis. Cinc dies pel barri Xino;8609;14.05.21;31.10.21;Pròpia;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Municipal;Institut de Cultura. Ajuntament de Barcelona;Arxius;Centres d'exposicions;Història i memòria;41386872640;2181806284;http://barcelona.cat/arxiufotografic
2021;Arxiu Fotogràfic de Barcelona;Arxiu Fotogràfic de Barcelona;Esteve Lucerón. La Perona. L'espai i la gent;2333;25.11.21;22.05.22;Pròpia;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Municipal;Institut de Cultura. Ajuntament de Barcelona;Arxius;Centres d'exposicions;Història i memòria;41386872640;2181806284;http://barcelona.cat/arxiufotografic
2021;CaixaForum;CaixaForum;PRADO: ARTE Y MITO;239412;15.10.20;28.02.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;VAMPIRS. L'EVOLUCIÓ DEL MITE;192208;29.10.20;31.01.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;SO LAZY. ELOGI DEL MALBARATAMENT;117068;26.11.20;18.04.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;El sueño americano. British Museum;195296;03.03.21;13.06.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;Ywy Visiones. Pedro Neves Marques;119536;13.05.21;26.09.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;TeamLab. Arte, tecnología y naturaleza;684264;17.05.21;09.01.22;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;CaixaForum;CaixaForum;El universo de Jean Prouvé. Centre G. Pompidou;189376;15.07.21;01.11.21;Pròpia;3;Sants-Montjuïc;14;la Font de la Guatlla;Privada;"Fundació ""la Caixa""";Centres d'exposicions;Centres d'exposicions;Arts visuals;41371294526;2149575441;http://caixaforum.es/ca/barcelona
2021;Can Framis. Fundació Vila Casas;Can Framis. Fundació Vila Casas;Càpsules de confinament. Art i pandèmia a Catalunya;;05.10.20;17.01.21;Pròpia;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Privada;Fundació Vila Casas;Museus i col·leccions;Centres patrimonials;Arts visuals;41402912812;2194947848;http://www.fundaciovilacasas.com
