year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;1;Ciutat Vella;1;el Raval;13090
2022;1;Ciutat Vella;2;el Barri Gòtic;5032
2022;1;Ciutat Vella;3;la Barceloneta;5036
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;7854
2022;2;Eixample;5;el Fort Pienc;7894
2022;2;Eixample;6;la Sagrada Família;13512
2022;2;Eixample;7;la Dreta de l'Eixample;12027
2022;2;Eixample;8;2022_above_65;11620
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;14713
2022;2;Eixample;10;Sant Antoni;10051
2022;3;Sants-Montjuïc;11;el Poble Sec;11035
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;424
2022;3;Sants-Montjuïc;13;la Marina de Port;7289
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;2528
2022;3;Sants-Montjuïc;15;Hostafrancs;4438
2022;3;Sants-Montjuïc;16;la Bordeta;4782
2022;3;Sants-Montjuïc;17;Sants - Badal;6028
2022;3;Sants-Montjuïc;18;Sants;10765
2022;4;Les Corts;19;les Corts;10266
2022;4;Les Corts;20;la Maternitat i Sant Ramon;5135
2022;4;Les Corts;21;Pedralbes;2179
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;1130
2022;5;Sarrià-Sant Gervasi;23;Sarrià;5239
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;3134
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;5425
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;10841
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;7680
2022;6;Gràcia;28;Vallcarca i els Penitents;4056
2022;6;Gràcia;29;el Coll;2048
2022;6;Gràcia;30;la Salut;3137
2022;6;Gràcia;31;la Vila de Gràcia;15706
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;8851
2022;7;Horta-Guinardó;33;el Baix Guinardó;6308
2022;7;Horta-Guinardó;34;Can Baró;2465
2022;7;Horta-Guinardó;35;el Guinardó;9576
2022;7;Horta-Guinardó;36;la Font d'en Fargues;2256
2022;7;Horta-Guinardó;37;el Carmel;7938
2022;7;Horta-Guinardó;38;la Teixonera;3104
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;1678
2022;7;Horta-Guinardó;40;Montbau;1273
2022;7;Horta-Guinardó;41;la Vall d'Hebron;1288
2022;7;Horta-Guinardó;42;la Clota;221
2022;7;Horta-Guinardó;43;Horta;6133
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;5989
2022;8;Nou Barris;45;Porta;5909
2022;8;Nou Barris;46;el Turó de la Peira;3966
2022;8;Nou Barris;47;Can Peguera;555
2022;8;Nou Barris;48;la Guineueta;3156
2022;8;Nou Barris;49;Canyelles;1356
2022;8;Nou Barris;50;les Roquetes;3991
2022;8;Nou Barris;51;Verdun;3191
2022;8;Nou Barris;52;la Prosperitat;6098
2022;8;Nou Barris;53;la Trinitat Nova;1883
2022;8;Nou Barris;54;Torre Baró;680
2022;8;Nou Barris;55;Ciutat Meridiana;2393
2022;8;Nou Barris;56;Vallbona;348
2022;9;Sant Andreu;57;la Trinitat Vella;2448
2022;9;Sant Andreu;58;Baró de Viver;662
2022;9;Sant Andreu;59;el Bon Pastor;2955
2022;9;Sant Andreu;60;Sant Andreu;14542
2022;9;Sant Andreu;61;la Sagrera;6823
2022;9;Sant Andreu;62;el Congrés i els Indians;3639
2022;9;Sant Andreu;63;Navas;5229
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;9988
2022;10;Sant Martí;65;el Clot;6685
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;4243
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;2418
