year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;age;number;;
2022;1;Ciutat Vella;1;el Raval;Women;0;179;;
2022;1;Ciutat Vella;1;el Raval;Women;1;204;;
2022;1;Ciutat Vella;1;el Raval;Women;2;200;;
2022;1;Ciutat Vella;1;el Raval;Women;3;205;;
2022;1;Ciutat Vella;1;el Raval;Women;4;201;;
2022;1;Ciutat Vella;1;el Raval;Women;5;189;;
2022;1;Ciutat Vella;1;el Raval;Women;6;183;;
2022;1;Ciutat Vella;1;el Raval;Women;7;172;;
2022;1;Ciutat Vella;1;el Raval;Women;8;189;;
2022;1;Ciutat Vella;1;el Raval;Women;9;206;;
2022;1;Ciutat Vella;1;el Raval;Women;10;211;;
2022;1;Ciutat Vella;1;el Raval;Women;11;189;;
2022;1;Ciutat Vella;1;el Raval;Women;12;167;;
2022;1;Ciutat Vella;1;el Raval;Women;13;186;;
2022;1;Ciutat Vella;1;el Raval;Women;14;182;;
2022;1;Ciutat Vella;1;el Raval;Women;15;184;;
2022;1;Ciutat Vella;1;el Raval;Women;16;182;;
2022;1;Ciutat Vella;1;el Raval;Women;17;140;;
2022;1;Ciutat Vella;1;el Raval;Women;18;204;;
2022;1;Ciutat Vella;1;el Raval;Women;19;194;;
2022;1;Ciutat Vella;1;el Raval;Women;20;187;;
2022;1;Ciutat Vella;1;el Raval;Women;21;233;;
2022;1;Ciutat Vella;1;el Raval;Women;22;291;;
2022;1;Ciutat Vella;1;el Raval;Women;23;296;;
2022;1;Ciutat Vella;1;el Raval;Women;24;401;;
2022;1;Ciutat Vella;1;el Raval;Women;25;397;;
2022;1;Ciutat Vella;1;el Raval;Women;26;452;;
2022;1;Ciutat Vella;1;el Raval;Women;27;466;;
2022;1;Ciutat Vella;1;el Raval;Women;28;552;;
2022;1;Ciutat Vella;1;el Raval;Women;29;545;;
2022;1;Ciutat Vella;1;el Raval;Women;30;517;;
2022;1;Ciutat Vella;1;el Raval;Women;31;524;;
