year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;6;Gràcia;31;la Vila de Gràcia;8115
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;7557
2022;9;Sant Andreu;60;Sant Andreu;7480
2022;6;Gràcia;31;la Vila de Gràcia;6893
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;6729
2022;9;Sant Andreu;60;Sant Andreu;6691
2022;2;Eixample;6;la Sagrada Família;6629
2022;2;Eixample;6;la Sagrada Família;6156
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;6100
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;5939
2022;9;Sant Andreu;60;Sant Andreu;5888
2022;2;Eixample;7;la Dreta de l'Eixample;5872
2022;1;Ciutat Vella;1;el Raval;5687
2022;4;Les Corts;19;les Corts;5577
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;5466
2022;2;Eixample;7;la Dreta de l'Eixample;5400
2022;3;Sants-Montjuïc;18;Sants;5379
2022;4;Les Corts;19;les Corts;5297
2022;4;Les Corts;19;les Corts;5197
2022;2;Eixample;6;la Sagrada Família;5171
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;5139
2022;3;Sants-Montjuïc;11;el Poble Sec;5110
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;5068
2022;3;Sants-Montjuïc;18;Sants;4941
2022;2;Eixample;10;Sant Antoni;4926
2022;1;Ciutat Vella;1;el Raval;4914
2022;10;Sant Martí;68;el Poblenou;4847
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;4839
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;4651
2022;3;Sants-Montjuïc;11;el Poble Sec;4611
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;4581
2022;7;Horta-Guinardó;35;el Guinardó;4568
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;4528
2022;7;Horta-Guinardó;35;el Guinardó;4528
2022;2;Eixample;10;Sant Antoni;4438
2022;6;Gràcia;31;la Vila de Gràcia;4353
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;4256
2022;10;Sant Martí;68;el Poblenou;4156
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;4042
2022;2;Eixample;7;la Dreta de l'Eixample;4038
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;4032
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;3996
2022;3;Sants-Montjuïc;18;Sants;3867
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;3857
2022;2;Eixample;10;Sant Antoni;3849
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;3824
2022;7;Horta-Guinardó;37;el Carmel;3758
2022;7;Horta-Guinardó;35;el Guinardó;3661
2022;2;Eixample;5;el Fort Pienc;3660
2022;2;Eixample;5;el Fort Pienc;3651
2022;7;Horta-Guinardó;37;el Carmel;3547
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;3505
2022;9;Sant Andreu;61;la Sagrera;3369
2022;3;Sants-Montjuïc;13;la Marina de Port;3349
2022;3;Sants-Montjuïc;13;la Marina de Port;3321
2022;9;Sant Andreu;61;la Sagrera;3247
2022;10;Sant Martí;73;la Verneda i la Pau;3238
2022;9;Sant Andreu;61;la Sagrera;3182
2022;10;Sant Martí;65;el Clot;3114
2022;7;Horta-Guinardó;33;el Baix Guinardó;3109
2022;10;Sant Martí;73;la Verneda i la Pau;3098
2022;7;Horta-Guinardó;37;el Carmel;3083
2022;7;Horta-Guinardó;33;el Baix Guinardó;3071
2022;10;Sant Martí;65;el Clot;3063
2022;7;Horta-Guinardó;43;Horta;3025
