neighbourhood_code,label_accidents_x,label_avg_occ_x,label_above_65_x,label_academic_level_x,label_between_18_65_x,label_bus_stops_x,label_children_play_areas_x,label_cinema_theatre_concerts_x,label_cultural_leisure_spaces_x,label_library_studyroom_x,label_sport_facilities_x,label_tourists_points_x,label_transportation_x,label_street_markets_and_fairs_x,label_rent_price_x,label_hotels_x,label_spaces_for_excercise_x,label_parks_gardens_x,label_exhebitons_museums_x,label_music_drinks_x,label_temporary_exhibitions_x,similarity,district_code,district_name,Neighbourhood,accidents,label_accidents_y,average_occupation_per_household,label_avg_occ_y,above_65t,label_above_65_y,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level_y,between_18_64,label_between_18_65_y,bus_stops,label_bus_stops_y,children_play_areas,label_children_play_areas_y,cinema_theater_concerts,label_cinema_theatre_concerts_y,culture_leisure_spaces,label_cultural_leisure_spaces_y,library_studyroom_museum_spaces,label_library_studyroom_y,sport_facilities,label_sport_facilities_y,tourists_points,label_tourists_points_y,transportation,label_transportation_y,street_markets_and_fairs,label_street_markets_and_fairs_y,rent_price,label_rent_price_y,hotels,label_hotels_y,spaces_for_exercising,label_spaces_for_excercise_y,parks_gardens,label_parks_gardens_y,number_of_museums_and_exhibitions,label_exhebitons_museums_y,music_drinks,label_music_drinks_y,temporaray_exhibitions,label_temporary_exhibitions_y,label_accidents_cat,label_avg_occ_cat,label_above_65_cat,label_academic_level_cat,label_between_18_65_cat,label_bus_stops_cat,label_children_play_areas_cat,label_cinema_theatre_concerts_cat,label_cultural_leisure_spaces_cat,label_library_studyroom_cat,label_sport_facilities_cat,label_tourists_points_cat,label_transportation_cat,label_street_markets_and_fairs_cat,label_rent_price_cat,label_hotels_cat,label_spaces_for_excercise_cat,label_parks_gardens_cat,label_exhebitons_museums_cat,label_music_drinks_cat,label_temporary_exhibitions_cat
6,5.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.29851115706299675,2,Eixample,la Sagrada Família,1261.0,5.0,23.0,1.0,21947.0,5.0,8772.0,512.0,5229.0,18938.0,12175.0,1.0,21947.0,3.0,45.0,1.0,14.0,3.0,4.0,2.0,58.0,1.0,6.0,1.0,52.0,1.0,9.0,1.0,9.0,1.0,2.0,1.0,985.9,3.0,10.0,1.0,2.0,2.0,15.0,2.0,1.0,1.0,10.0,1.0,0.0,0.0,common,sparsely_populated,very_high,high,very_high,medium,many,some,medium,few,medium,few,few,few,expensive,few,some,some,few,few,none
64,4.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26967994498529685,10,Sant Martí,el Camp de l'Arpa del Clot,1164.0,4.0,23.0,1.0,16391.0,4.0,7522.0,479.0,4653.0,11654.0,9296.0,1.0,16391.0,2.0,20.0,0.0,13.0,2.0,4.0,2.0,20.0,0.0,3.0,1.0,32.0,0.0,3.0,1.0,8.0,1.0,1.0,1.0,875.1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frequent,sparsely_populated,high,high,high,low,medium,some,low,few,low,few,few,few,medium,none,none,few,none,none,none
9,5.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,0.26940795304016235,2,Eixample,la Nova Esquerra de l'Eixample,1327.0,5.0,23.0,1.0,24647.0,5.0,8458.0,423.0,4742.0,23718.0,13306.0,1.0,24647.0,3.0,42.0,1.0,22.0,4.0,2.0,1.0,75.0,1.0,14.0,3.0,148.0,2.0,27.0,2.0,13.0,2.0,0.0,0.0,1012.2,3.0,18.0,2.0,0.0,0.0,20.0,2.0,2.0,1.0,18.0,2.0,4.0,1.0,common,sparsely_populated,very_high,high,very_high,medium,several,few,medium,many,high,some,some,none,expensive,some,none,some,few,some,few
31,5.0,0.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.25630729731502827,6,Gràcia,la Vila de Gràcia,1364.0,5.0,22.0,0.0,22660.0,5.0,6643.0,470.0,4187.0,21611.0,10654.0,1.0,22660.0,3.0,47.0,1.0,13.0,2.0,24.0,3.0,108.0,2.0,7.0,2.0,118.0,2.0,260.0,5.0,6.0,1.0,0.0,0.0,982.6,3.0,51.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,51.0,3.0,4.0,1.0,common,sparse,very_high,high,very_high,medium,medium,many,high,some,high,a_lot,few,none,expensive,some,none,few,few,many,few
35,4.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25607375986579195,7,Horta-Guinardó,el Guinardó,1124.0,4.0,24.0,2.0,15501.0,4.0,7178.0,457.0,4201.0,10777.0,9361.0,1.0,15501.0,2.0,68.0,2.0,12.0,2.0,0.0,0.0,24.0,0.0,5.0,1.0,45.0,1.0,24.0,2.0,6.0,1.0,0.0,0.0,810.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,frequent,lightly_populated,high,high,high,high,medium,none,low,few,medium,some,few,none,affordable,few,none,few,few,few,none
60,5.0,2.0,5.0,1.0,3.0,2.0,6.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24174688920761409,9,Sant Andreu,Sant Andreu,1309.0,5.0,24.0,2.0,23931.0,5.0,12338.0,772.0,8062.0,13753.0,13974.0,1.0,23931.0,3.0,72.0,2.0,33.0,6.0,5.0,2.0,57.0,1.0,8.0,2.0,104.0,2.0,177.0,5.0,19.0,2.0,2.0,1.0,788.2,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,common,lightly_populated,very_high,high,very_high,high,very_high,some,medium,some,high,a_lot,some,few,affordable,few,few,few,few,few,few
32,4.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2407717061715384,6,Gràcia,el Camp d'en Grassot i Gràcia Nova,1106.0,4.0,24.0,2.0,14882.0,4.0,5429.0,320.0,3016.0,13611.0,8256.0,1.0,14882.0,2.0,32.0,0.0,5.0,0.0,1.0,1.0,16.0,0.0,1.0,1.0,113.0,2.0,30.0,3.0,3.0,1.0,0.0,0.0,977.8,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,frequent,lightly_populated,high,high,high,low,low,few,low,few,high,many,few,none,expensive,few,none,few,none,few,none
18,5.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.21693045781865616,3,Sants-Montjuïc,Sants,1305.0,5.0,25.0,3.0,17090.0,4.0,8385.0,559.0,5736.0,13186.0,9704.0,1.0,17090.0,2.0,51.0,1.0,8.0,1.0,3.0,1.0,45.0,1.0,8.0,2.0,84.0,1.0,36.0,3.0,23.0,2.0,1.0,1.0,885.6,2.0,10.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,common,moderately_populated,high,high,high,medium,few,few,medium,some,medium,many,some,few,medium,few,none,few,none,few,none
68,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.21081851067789195,10,Sant Martí,el Poblenou,1262.0,5.0,25.0,3.0,13836.0,3.0,5816.0,375.0,3644.0,11204.0,7352.0,1.0,13836.0,2.0,64.0,2.0,15.0,3.0,4.0,2.0,47.0,1.0,5.0,1.0,71.0,1.0,27.0,2.0,4.0,1.0,1.0,1.0,1085.6,3.0,6.0,1.0,2.0,2.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,common,moderately_populated,medium_high,high,high,high,many,some,medium,few,medium,some,few,few,expensive,few,some,few,none,few,none
10,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.20519567041703082,2,Eixample,Sant Antoni,1300.0,5.0,23.0,1.0,16247.0,4.0,6623.0,434.0,4199.0,13861.0,8715.0,1.0,16247.0,2.0,57.0,1.0,14.0,3.0,6.0,2.0,63.0,1.0,7.0,2.0,52.0,1.0,15.0,2.0,13.0,2.0,4.0,2.0,1004.3,3.0,15.0,1.0,1.0,1.0,16.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,common,sparsely_populated,high,high,high,medium,many,some,medium,some,medium,some,some,some,expensive,few,few,some,none,few,none
