neighbourhood_code,label_accidents_x,label_avg_occ_x,label_above_65_x,label_academic_level_x,label_between_18_65_x,label_bus_stops_x,label_children_play_areas_x,label_cinema_theatre_concerts_x,label_cultural_leisure_spaces_x,label_library_studyroom_x,label_sport_facilities_x,label_tourists_points_x,label_transportation_x,label_street_markets_and_fairs_x,label_rent_price_x,label_hotels_x,label_spaces_for_excercise_x,label_parks_gardens_x,label_exhebitons_museums_x,label_music_drinks_x,label_temporary_exhibitions_x,similarity,district_code,district_name,Neighbourhood,accidents,label_accidents_y,average_occupation_per_household,label_avg_occ_y,above_65t,label_above_65_y,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level_y,between_18_64,label_between_18_65_y,bus_stops,label_bus_stops_y,children_play_areas,label_children_play_areas_y,cinema_theater_concerts,label_cinema_theatre_concerts_y,culture_leisure_spaces,label_cultural_leisure_spaces_y,library_studyroom_museum_spaces,label_library_studyroom_y,sport_facilities,label_sport_facilities_y,tourists_points,label_tourists_points_y,transportation,label_transportation_y,street_markets_and_fairs,label_street_markets_and_fairs_y,rent_price,label_rent_price_y,hotels,label_hotels_y,spaces_for_exercising,label_spaces_for_excercise_y,parks_gardens,label_parks_gardens_y,number_of_museums_and_exhibitions,label_exhebitons_museums_y,music_drinks,label_music_drinks_y,temporaray_exhibitions,label_temporary_exhibitions_y,label_accidents_cat,label_avg_occ_cat,label_above_65_cat,label_academic_level_cat,label_between_18_65_cat,label_bus_stops_cat,label_children_play_areas_cat,label_cinema_theatre_concerts_cat,label_cultural_leisure_spaces_cat,label_library_studyroom_cat,label_sport_facilities_cat,label_tourists_points_cat,label_transportation_cat,label_street_markets_and_fairs_cat,label_rent_price_cat,label_hotels_cat,label_spaces_for_excercise_cat,label_parks_gardens_cat,label_exhebitons_museums_cat,label_music_drinks_cat,label_temporary_exhibitions_cat
4,5.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,0.8290811717279418,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1300.0,5.0,22.0,0.0,10240.0,3.0,3582.0,216.0,2761.0,8970.0,4575.0,0.0,10240.0,1.0,38.0,1.0,12.0,2.0,13.0,3.0,129.0,2.0,34.0,4.0,45.0,1.0,75.0,3.0,6.0,1.0,3.0,2.0,1051.4,3.0,62.0,2.0,0.0,0.0,4.0,1.0,17.0,2.0,62.0,3.0,16.0,2.0,common,sparse,medium_high,low,medium,medium,medium,many,high,a_lot,medium,many,few,some,expensive,some,none,few,some,many,some
8,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,4.0,0.0,0.8248159098493205,2,Eixample,l'Antiga Esquerra de l'Eixample,1296.0,5.0,23.0,1.0,6611.0,2.0,5327.0,257.0,2714.0,19555.0,9809.0,1.0,18231.0,2.0,91.0,2.0,12.0,2.0,4.0,2.0,136.0,2.0,15.0,3.0,49.0,1.0,21.0,2.0,7.0,1.0,0.0,0.0,1174.6,3.0,87.0,3.0,1.0,1.0,17.0,2.0,0.0,0.0,87.0,4.0,0.0,0.0,common,sparsely_populated,medium,high,high,high,medium,some,high,many,medium,some,few,none,expensive,many,few,some,none,a_lot,none
7,6.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,0.0,4.0,3.0,0.0,3.0,2.0,4.0,2.0,0.8247841014164035,2,Eixample,la Dreta de l'Eixample,1475.0,6.0,24.0,2.0,18660.0,4.0,4826.0,211.0,2527.0,21570.0,9554.0,1.0,18660.0,2.0,140.0,3.0,12.0,2.0,13.0,3.0,169.0,2.0,35.0,4.0,97.0,2.0,166.0,5.0,55.0,3.0,0.0,0.0,1328.6,4.0,78.0,3.0,0.0,0.0,28.0,3.0,16.0,2.0,78.0,4.0,21.0,2.0,very_common,lightly_populated,high,high,high,very_high,medium,many,high,a_lot,high,a_lot,many,none,very_expensive,many,none,many,some,a_lot,some
3,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.8058127442654063,1,Ciutat Vella,la Barceloneta,1284.0,5.0,21.0,0.0,6938.0,2.0,3229.0,258.0,2425.0,4181.0,3043.0,0.0,6938.0,0.0,44.0,1.0,7.0,1.0,1.0,1.0,52.0,1.0,11.0,3.0,104.0,2.0,66.0,3.0,2.0,1.0,1.0,1.0,900.5,2.0,28.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,28.0,2.0,2.0,1.0,common,sparse,medium,low,low,medium,few,few,medium,many,high,many,few,few,medium,some,some,few,few,some,few
31,5.0,0.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.7877346629527655,6,Gràcia,la Vila de Gràcia,1364.0,5.0,22.0,0.0,22660.0,5.0,6643.0,470.0,4187.0,21611.0,10654.0,1.0,22660.0,3.0,47.0,1.0,13.0,2.0,24.0,3.0,108.0,2.0,7.0,2.0,118.0,2.0,260.0,5.0,6.0,1.0,0.0,0.0,982.6,3.0,51.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,51.0,3.0,4.0,1.0,common,sparse,very_high,high,very_high,medium,medium,many,high,some,high,a_lot,few,none,expensive,some,none,few,few,many,few
1,6.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.7806310960071123,1,Ciutat Vella,el Raval,1438.0,6.0,27.0,4.0,17192.0,4.0,10420.0,471.0,9668.0,11020.0,8054.0,1.0,17192.0,2.0,43.0,1.0,11.0,2.0,26.0,4.0,156.0,2.0,33.0,4.0,71.0,1.0,110.0,4.0,15.0,2.0,2.0,1.0,872.0,2.0,63.0,2.0,1.0,1.0,9.0,2.0,23.0,2.0,63.0,3.0,58.0,3.0,very_common,densely_populated,high,high,high,medium,medium,a_lot,high,a_lot,medium,several,some,few,medium,some,few,some,some,many,many
26,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,0.7779033216212786,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1282.0,5.0,25.0,3.0,18634.0,4.0,4369.0,117.0,1840.0,22046.0,11192.0,1.0,18634.0,2.0,74.0,2.0,10.0,2.0,8.0,2.0,77.0,1.0,9.0,2.0,131.0,2.0,39.0,3.0,10.0,1.0,0.0,0.0,1484.5,4.0,39.0,2.0,0.0,0.0,10.0,2.0,1.0,1.0,39.0,2.0,0.0,0.0,common,moderately_populated,high,high,high,high,medium,some,medium,some,high,many,few,none,very_expensive,some,none,some,few,some,none
6,5.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.7754585980039035,2,Eixample,la Sagrada Família,1261.0,5.0,23.0,1.0,21947.0,5.0,8772.0,512.0,5229.0,18938.0,12175.0,1.0,21947.0,3.0,45.0,1.0,14.0,3.0,4.0,2.0,58.0,1.0,6.0,1.0,52.0,1.0,9.0,1.0,9.0,1.0,2.0,1.0,985.9,3.0,10.0,1.0,2.0,2.0,15.0,2.0,1.0,1.0,10.0,1.0,0.0,0.0,common,sparsely_populated,very_high,high,very_high,medium,many,some,medium,few,medium,few,few,few,expensive,few,some,some,few,few,none
11,6.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.7690622445778035,3,Sants-Montjuïc,el Poble-sec,1440.0,6.0,25.0,3.0,15953.0,4.0,8214.0,525.0,6517.0,10731.0,8223.0,1.0,15953.0,2.0,131.0,3.0,17.0,3.0,21.0,3.0,120.0,2.0,27.0,3.0,187.0,3.0,153.0,4.0,14.0,2.0,0.0,0.0,879.3,2.0,22.0,2.0,1.0,1.0,31.0,3.0,27.0,2.0,22.0,2.0,28.0,2.0,very_common,moderately_populated,high,high,high,very_high,many,many,high,many,very_high,several,some,none,medium,some,few,many,some,some,some
10,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.7545255556998619,2,Eixample,Sant Antoni,1300.0,5.0,23.0,1.0,16247.0,4.0,6623.0,434.0,4199.0,13861.0,8715.0,1.0,16247.0,2.0,57.0,1.0,14.0,3.0,6.0,2.0,63.0,1.0,7.0,2.0,52.0,1.0,15.0,2.0,13.0,2.0,4.0,2.0,1004.3,3.0,15.0,1.0,1.0,1.0,16.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,common,sparsely_populated,high,high,high,medium,many,some,medium,some,medium,some,some,some,expensive,few,few,some,none,few,none
